"Record","Plot","Row","Column","Cp","Csp","Entry","Year","Location","Genotype","Trait","Value","CTRLGENOTYPE"
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","STD",2,0
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","V1",1,0
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","V2",3,0
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","V3",1,0
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","W1",4,0
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","W2",5,0
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","W3",4,0
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","STD",3,0
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","V1",3,0
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","V2",3,0
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","V3",3,0
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","W1",4,0
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","W2",6,0
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","W3",5,0
673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","STD",3,0
673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","V1",3,0
673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","V2",3,0
673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","V3",3,0
673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","W1",5,0
673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","W2",6,0
673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","W3",7,0
40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","STD",2,0
40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","V1",2,0
40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","V2",2,0
40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","V3",1,0
40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","W1",3,0
40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","W2",4,0
40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","W3",1,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","STD",3,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","V1",2,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","V2",3,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","V3",2,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","W1",3,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","W2",5,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","W3",0,0
108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","STD",2,0
108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","V1",2,0
108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","V2",3,0
108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","V3",2,0
108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","W1",5,0
108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","W2",6,0
108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","W3",5,0
456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","STD",2,0
456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","V1",2,0
456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","V2",4,0
456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","V3",3,0
456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","W1",0,0
456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","W2",3,0
456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","W3",2,0
389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","STD",3,0
389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","V1",3,0
389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","V2",4,0
389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","V3",3,0
389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","W1",4,0
389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","W2",4,0
389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","W3",2,0
465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","STD",1,0
465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","V1",1,0
465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","V2",3,0
465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","V3",1,0
465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","W1",2,0
465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","W2",5,0
465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","W3",5,0
86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","STD",3,0
86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","V1",4,0
86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","V2",4,0
86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","V3",4,0
86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","W1",1,0
86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","W2",4,0
86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","W3",5,0
331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","STD",1,0
331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","V1",1,0
331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","V2",2,0
331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","V3",1,0
331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","W1",0,0
