"","...1.x","Record.x","Plot.x","Row.x","Column.x","Cp.x","Csp.x","Entry.x","Year","Location","Genotype.x","Trait","Value.x","Whole_plot"
"1",3242,715,564,6,7,1,0,715,2019,"Preston","NorLin","STD",3,"6 + 7"
"2",3256,717,566,6,7,0,2,717,2019,"Preston","Novelty","STD",5,"6 + 7"
"3",3263,716,567,6,7,0,1,716,2019,"Preston","Flanders","STD",4,"6 + 7"
"4",3872,715,654,7,8,1,0,715,2019,"Preston","NorLin","STD",3,"7 + 8"
"5",3893,716,657,7,8,0,1,716,2019,"Preston","Flanders","STD",2,"7 + 8"
"6",3900,717,658,7,8,0,2,717,2019,"Preston","Novelty","STD",2,"7 + 8"
"7",4691,715,771,9,3,1,0,715,2019,"Preston","NorLin","STD",3,"9 + 3"
"8",4698,716,772,9,3,0,1,716,2019,"Preston","Flanders","STD",3,"9 + 3"
"9",4712,717,774,9,3,0,2,717,2019,"Preston","Novelty","STD",3,"9 + 3"
"10",3243,715,564,6,7,1,0,715,2019,"Preston","NorLin","V1",2,"6 + 7"
"11",3257,717,566,6,7,0,2,717,2019,"Preston","Novelty","V1",5,"6 + 7"
"12",3264,716,567,6,7,0,1,716,2019,"Preston","Flanders","V1",4,"6 + 7"
"13",3873,715,654,7,8,1,0,715,2019,"Preston","NorLin","V1",3,"7 + 8"
"14",3894,716,657,7,8,0,1,716,2019,"Preston","Flanders","V1",3,"7 + 8"
"15",3901,717,658,7,8,0,2,717,2019,"Preston","Novelty","V1",3,"7 + 8"
"16",4692,715,771,9,3,1,0,715,2019,"Preston","NorLin","V1",2,"9 + 3"
"17",4699,716,772,9,3,0,1,716,2019,"Preston","Flanders","V1",3,"9 + 3"
"18",4713,717,774,9,3,0,2,717,2019,"Preston","Novelty","V1",4,"9 + 3"
"19",3244,715,564,6,7,1,0,715,2019,"Preston","NorLin","V2",2,"6 + 7"
"20",3258,717,566,6,7,0,2,717,2019,"Preston","Novelty","V2",3,"6 + 7"
"21",3265,716,567,6,7,0,1,716,2019,"Preston","Flanders","V2",3,"6 + 7"
"22",3874,715,654,7,8,1,0,715,2019,"Preston","NorLin","V2",3,"7 + 8"
"23",3895,716,657,7,8,0,1,716,2019,"Preston","Flanders","V2",3,"7 + 8"
"24",3902,717,658,7,8,0,2,717,2019,"Preston","Novelty","V2",4,"7 + 8"
"25",4693,715,771,9,3,1,0,715,2019,"Preston","NorLin","V2",2,"9 + 3"
"26",4700,716,772,9,3,0,1,716,2019,"Preston","Flanders","V2",2,"9 + 3"
"27",4714,717,774,9,3,0,2,717,2019,"Preston","Novelty","V2",4,"9 + 3"
"28",3245,715,564,6,7,1,0,715,2019,"Preston","NorLin","V3",2,"6 + 7"
"29",3259,717,566,6,7,0,2,717,2019,"Preston","Novelty","V3",3,"6 + 7"
"30",3266,716,567,6,7,0,1,716,2019,"Preston","Flanders","V3",3,"6 + 7"
"31",3875,715,654,7,8,1,0,715,2019,"Preston","NorLin","V3",2,"7 + 8"
"32",3896,716,657,7,8,0,1,716,2019,"Preston","Flanders","V3",2,"7 + 8"
"33",3903,717,658,7,8,0,2,717,2019,"Preston","Novelty","V3",3,"7 + 8"
"34",4694,715,771,9,3,1,0,715,2019,"Preston","NorLin","V3",2,"9 + 3"
"35",4701,716,772,9,3,0,1,716,2019,"Preston","Flanders","V3",3,"9 + 3"
"36",4715,717,774,9,3,0,2,717,2019,"Preston","Novelty","V3",3,"9 + 3"
"37",3246,715,564,6,7,1,0,715,2019,"Preston","NorLin","W1",4,"6 + 7"
"38",3260,717,566,6,7,0,2,717,2019,"Preston","Novelty","W1",5,"6 + 7"
"39",3267,716,567,6,7,0,1,716,2019,"Preston","Flanders","W1",0,"6 + 7"
"40",3876,715,654,7,8,1,0,715,2019,"Preston","NorLin","W1",5,"7 + 8"
"41",3897,716,657,7,8,0,1,716,2019,"Preston","Flanders","W1",4,"7 + 8"
"42",3904,717,658,7,8,0,2,717,2019,"Preston","Novelty","W1",0,"7 + 8"
"43",4695,715,771,9,3,1,0,715,2019,"Preston","NorLin","W1",1,"9 + 3"
"44",4702,716,772,9,3,0,1,716,2019,"Preston","Flanders","W1",1,"9 + 3"
"45",4716,717,774,9,3,0,2,717,2019,"Preston","Novelty","W1",3,"9 + 3"
"46",3247,715,564,6,7,1,0,715,2019,"Preston","NorLin","W2",4,"6 + 7"
"47",3261,717,566,6,7,0,2,717,2019,"Preston","Novelty","W2",4,"6 + 7"
"48",3268,716,567,6,7,0,1,716,2019,"Preston","Flanders","W2",1,"6 + 7"
"49",3877,715,654,7,8,1,0,715,2019,"Preston","NorLin","W2",4,"7 + 8"
"50",3898,716,657,7,8,0,1,716,2019,"Preston","Flanders","W2",4,"7 + 8"
"51",3905,717,658,7,8,0,2,717,2019,"Preston","Novelty","W2",7,"7 + 8"
"52",4696,715,771,9,3,1,0,715,2019,"Preston","NorLin","W2",3,"9 + 3"
"53",4703,716,772,9,3,0,1,716,2019,"Preston","Flanders","W2",3,"9 + 3"
"54",4717,717,774,9,3,0,2,717,2019,"Preston","Novelty","W2",5,"9 + 3"
"55",3248,715,564,6,7,1,0,715,2019,"Preston","NorLin","W3",2,"6 + 7"
"56",3262,717,566,6,7,0,2,717,2019,"Preston","Novelty","W3",2,"6 + 7"
"57",3269,716,567,6,7,0,1,716,2019,"Preston","Flanders","W3",3,"6 + 7"
"58",3878,715,654,7,8,1,0,715,2019,"Preston","NorLin","W3",2,"7 + 8"
"59",3899,716,657,7,8,0,1,716,2019,"Preston","Flanders","W3",2,"7 + 8"
"60",3906,717,658,7,8,0,2,717,2019,"Preston","Novelty","W3",7,"7 + 8"
"61",4697,715,771,9,3,1,0,715,2019,"Preston","NorLin","W3",3,"9 + 3"
"62",4704,716,772,9,3,0,1,716,2019,"Preston","Flanders","W3",3,"9 + 3"
"63",4718,717,774,9,3,0,2,717,2019,"Preston","Novelty","W3",5,"9 + 3"
