"","Record","Plot","Row","Column","Cp","Csp","Entry","Year","Location","Genotype","Trait","Value"
"1",521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","STD",2
"2",521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","V1",1
"3",521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","V2",3
"4",521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","V3",1
"5",521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","W1",4
"6",521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","W2",5
"7",521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","W3",4
"8",284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","STD",3
"9",284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","V1",3
"10",284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","V2",3
"11",284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","V3",3
"12",284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","W1",4
"13",284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","W2",6
"14",284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","W3",5
"15",673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","STD",3
"16",673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","V1",3
"17",673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","V2",3
"18",673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","V3",3
"19",673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","W1",5
"20",673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","W2",6
"21",673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","W3",7
"22",40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","STD",2
"23",40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","V1",2
"24",40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","V2",2
"25",40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","V3",1
"26",40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","W1",3
"27",40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","W2",4
"28",40,104,1,1,0,0,40,2019,"Preston","BxN-RIL-347-19","W3",1
"29",715,105,1,1,1,0,715,2019,"Preston","NorLin","STD",3
"30",715,105,1,1,1,0,715,2019,"Preston","NorLin","V1",2
"31",715,105,1,1,1,0,715,2019,"Preston","NorLin","V2",3
"32",715,105,1,1,1,0,715,2019,"Preston","NorLin","V3",2
"33",715,105,1,1,1,0,715,2019,"Preston","NorLin","W1",3
"34",715,105,1,1,1,0,715,2019,"Preston","NorLin","W2",5
"35",715,105,1,1,1,0,715,2019,"Preston","NorLin","W3",0
"36",108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","STD",2
"37",108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","V1",2
"38",108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","V2",3
"39",108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","V3",2
"40",108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","W1",5
"41",108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","W2",6
"42",108,106,1,1,0,0,108,2019,"Preston","BxN-RIL-351-2","W3",5
"43",456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","STD",2
"44",456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","V1",2
"45",456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","V2",4
"46",456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","V3",3
"47",456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","W1",0
"48",456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","W2",3
"49",456,107,1,1,0,0,456,2019,"Preston","NxB-RIL-365-18","W3",2
"50",389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","STD",3
"51",389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","V1",3
"52",389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","V2",4
"53",389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","V3",3
"54",389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","W1",4
"55",389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","W2",4
"56",389,108,1,1,0,0,389,2019,"Preston","NxB-RIL-362-20","W3",2
"57",465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","STD",1
"58",465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","V1",1
"59",465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","V2",3
"60",465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","V3",1
"61",465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","W1",2
"62",465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","W2",5
"63",465,109,1,1,0,0,465,2019,"Preston","NxB-RIL-365-28","W3",5
"64",86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","STD",3
"65",86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","V1",4
"66",86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","V2",4
"67",86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","V3",4
"68",86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","W1",1
"69",86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","W2",4
"70",86,110,1,2,0,0,86,2019,"Preston","BxN-RIL-349-23","W3",5
"71",331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","STD",1
"72",331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","V1",1
"73",331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","V2",2
"74",331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","V3",1
"75",331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","W1",0
"76",331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","W2",4
"77",331,111,1,2,0,0,331,2019,"Preston","BxN-RIL-360-23","W3",0
"78",415,112,1,2,0,0,415,2019,"Preston","NxB-RIL-363-25","STD",2
"79",415,112,1,2,0,0,415,2019,"Preston","NxB-RIL-363-25","V1",2
"80",415,112,1,2,0,0,415,2019,"Preston","NxB-RIL-363-25","V2",4
"81",415,112,1,2,0,0,415,2019,"Preston","NxB-RIL-363-25","V3",4
"82",415,112,1,2,0,0,415,2019,"Preston","NxB-RIL-363-25","W1",0
"83",415,112,1,2,0,0,415,2019,"Preston","NxB-RIL-363-25","W2",4
"84",415,112,1,2,0,0,415,2019,"Preston","NxB-RIL-363-25","W3",5
"85",374,113,1,2,0,0,374,2019,"Preston","NxB-RIL-362-3","STD",2
"86",374,113,1,2,0,0,374,2019,"Preston","NxB-RIL-362-3","V1",2
"87",374,113,1,2,0,0,374,2019,"Preston","NxB-RIL-362-3","V2",4
"88",374,113,1,2,0,0,374,2019,"Preston","NxB-RIL-362-3","V3",3
"89",374,113,1,2,0,0,374,2019,"Preston","NxB-RIL-362-3","W1",3
"90",374,113,1,2,0,0,374,2019,"Preston","NxB-RIL-362-3","W2",4
"91",374,113,1,2,0,0,374,2019,"Preston","NxB-RIL-362-3","W3",4
"92",715,114,1,2,1,0,715,2019,"Preston","NorLin","STD",3
"93",715,114,1,2,1,0,715,2019,"Preston","NorLin","V1",3
"94",715,114,1,2,1,0,715,2019,"Preston","NorLin","V2",4
"95",715,114,1,2,1,0,715,2019,"Preston","NorLin","V3",3
"96",715,114,1,2,1,0,715,2019,"Preston","NorLin","W1",0
"97",715,114,1,2,1,0,715,2019,"Preston","NorLin","W2",4
"98",715,114,1,2,1,0,715,2019,"Preston","NorLin","W3",1
"99",654,115,1,2,0,0,654,2019,"Preston","NxB-RIL-373-29","STD",4
"100",654,115,1,2,0,0,654,2019,"Preston","NxB-RIL-373-29","V1",4
"101",654,115,1,2,0,0,654,2019,"Preston","NxB-RIL-373-29","V2",5
"102",654,115,1,2,0,0,654,2019,"Preston","NxB-RIL-373-29","V3",5
"103",654,115,1,2,0,0,654,2019,"Preston","NxB-RIL-373-29","W1",6
"104",654,115,1,2,0,0,654,2019,"Preston","NxB-RIL-373-29","W2",8
"105",654,115,1,2,0,0,654,2019,"Preston","NxB-RIL-373-29","W3",7
"106",384,116,1,2,0,0,384,2019,"Preston","NxB-RIL-362-15","STD",2
"107",384,116,1,2,0,0,384,2019,"Preston","NxB-RIL-362-15","V1",3
"108",384,116,1,2,0,0,384,2019,"Preston","NxB-RIL-362-15","V2",5
"109",384,116,1,2,0,0,384,2019,"Preston","NxB-RIL-362-15","V3",4
"110",384,116,1,2,0,0,384,2019,"Preston","NxB-RIL-362-15","W1",1
"111",384,116,1,2,0,0,384,2019,"Preston","NxB-RIL-362-15","W2",6
"112",384,116,1,2,0,0,384,2019,"Preston","NxB-RIL-362-15","W3",5
"113",68,117,1,2,0,0,68,2019,"Preston","BxN-RIL-349-1","STD",2
"114",68,117,1,2,0,0,68,2019,"Preston","BxN-RIL-349-1","V1",3
"115",68,117,1,2,0,0,68,2019,"Preston","BxN-RIL-349-1","V2",3
"116",68,117,1,2,0,0,68,2019,"Preston","BxN-RIL-349-1","V3",3
"117",68,117,1,2,0,0,68,2019,"Preston","BxN-RIL-349-1","W1",0
"118",68,117,1,2,0,0,68,2019,"Preston","BxN-RIL-349-1","W2",4
"119",68,117,1,2,0,0,68,2019,"Preston","BxN-RIL-349-1","W3",1
"120",390,118,1,2,0,0,390,2019,"Preston","NxB-RIL-362-21","STD",4
"121",390,118,1,2,0,0,390,2019,"Preston","NxB-RIL-362-21","V1",4
"122",390,118,1,2,0,0,390,2019,"Preston","NxB-RIL-362-21","V2",5
"123",390,118,1,2,0,0,390,2019,"Preston","NxB-RIL-362-21","V3",5
"124",390,118,1,2,0,0,390,2019,"Preston","NxB-RIL-362-21","W1",5
"125",390,118,1,2,0,0,390,2019,"Preston","NxB-RIL-362-21","W2",7
"126",390,118,1,2,0,0,390,2019,"Preston","NxB-RIL-362-21","W3",8
"127",680,119,1,3,0,0,680,2019,"Preston","NxB-RIL-374-29","STD",1
"128",680,119,1,3,0,0,680,2019,"Preston","NxB-RIL-374-29","V1",1
"129",680,119,1,3,0,0,680,2019,"Preston","NxB-RIL-374-29","V2",1
"130",680,119,1,3,0,0,680,2019,"Preston","NxB-RIL-374-29","V3",1
"131",680,119,1,3,0,0,680,2019,"Preston","NxB-RIL-374-29","W1",0
"132",680,119,1,3,0,0,680,2019,"Preston","NxB-RIL-374-29","W2",4
"133",680,119,1,3,0,0,680,2019,"Preston","NxB-RIL-374-29","W3",1
"134",327,120,1,3,0,0,327,2019,"Preston","BxN-RIL-360-19","STD",2
"135",327,120,1,3,0,0,327,2019,"Preston","BxN-RIL-360-19","V1",2
"136",327,120,1,3,0,0,327,2019,"Preston","BxN-RIL-360-19","V2",2
"137",327,120,1,3,0,0,327,2019,"Preston","BxN-RIL-360-19","V3",1
"138",327,120,1,3,0,0,327,2019,"Preston","BxN-RIL-360-19","W1",1
"139",327,120,1,3,0,0,327,2019,"Preston","BxN-RIL-360-19","W2",3
"140",327,120,1,3,0,0,327,2019,"Preston","BxN-RIL-360-19","W3",1
"141",690,121,1,3,0,0,690,2019,"Preston","NxB-RIL-375-8","STD",3
"142",690,121,1,3,0,0,690,2019,"Preston","NxB-RIL-375-8","V1",2
"143",690,121,1,3,0,0,690,2019,"Preston","NxB-RIL-375-8","V2",2
"144",690,121,1,3,0,0,690,2019,"Preston","NxB-RIL-375-8","V3",2
"145",690,121,1,3,0,0,690,2019,"Preston","NxB-RIL-375-8","W1",4
"146",690,121,1,3,0,0,690,2019,"Preston","NxB-RIL-375-8","W2",4
"147",690,121,1,3,0,0,690,2019,"Preston","NxB-RIL-375-8","W3",2
"148",401,122,1,3,0,0,401,2019,"Preston","NxB-RIL-363-6","STD",2
"149",401,122,1,3,0,0,401,2019,"Preston","NxB-RIL-363-6","V1",2
"150",401,122,1,3,0,0,401,2019,"Preston","NxB-RIL-363-6","V2",2
"151",401,122,1,3,0,0,401,2019,"Preston","NxB-RIL-363-6","V3",1
"152",401,122,1,3,0,0,401,2019,"Preston","NxB-RIL-363-6","W1",0
"153",401,122,1,3,0,0,401,2019,"Preston","NxB-RIL-363-6","W2",3
"154",401,122,1,3,0,0,401,2019,"Preston","NxB-RIL-363-6","W3",0
"155",715,123,1,3,1,0,715,2019,"Preston","NorLin","STD",3
"156",715,123,1,3,1,0,715,2019,"Preston","NorLin","V1",4
"157",715,123,1,3,1,0,715,2019,"Preston","NorLin","V2",4
"158",715,123,1,3,1,0,715,2019,"Preston","NorLin","V3",3
"159",715,123,1,3,1,0,715,2019,"Preston","NorLin","W1",0
"160",715,123,1,3,1,0,715,2019,"Preston","NorLin","W2",4
"161",715,123,1,3,1,0,715,2019,"Preston","NorLin","W3",1
"162",109,124,1,3,0,0,109,2019,"Preston","BxN-RIL-351-4","STD",4
"163",109,124,1,3,0,0,109,2019,"Preston","BxN-RIL-351-4","V1",3
"164",109,124,1,3,0,0,109,2019,"Preston","BxN-RIL-351-4","V2",4
"165",109,124,1,3,0,0,109,2019,"Preston","BxN-RIL-351-4","V3",3
"166",109,124,1,3,0,0,109,2019,"Preston","BxN-RIL-351-4","W1",2
"167",109,124,1,3,0,0,109,2019,"Preston","BxN-RIL-351-4","W2",5
"168",109,124,1,3,0,0,109,2019,"Preston","BxN-RIL-351-4","W3",4
"169",166,125,1,3,0,0,166,2019,"Preston","BxN-RIL-353-22","STD",2
"170",166,125,1,3,0,0,166,2019,"Preston","BxN-RIL-353-22","V1",3
"171",166,125,1,3,0,0,166,2019,"Preston","BxN-RIL-353-22","V2",4
"172",166,125,1,3,0,0,166,2019,"Preston","BxN-RIL-353-22","V3",3
"173",166,125,1,3,0,0,166,2019,"Preston","BxN-RIL-353-22","W1",0
"174",166,125,1,3,0,0,166,2019,"Preston","BxN-RIL-353-22","W2",5
"175",166,125,1,3,0,0,166,2019,"Preston","BxN-RIL-353-22","W3",2
"176",55,126,1,3,0,0,55,2019,"Preston","BxN-RIL-348-11","STD",3
"177",55,126,1,3,0,0,55,2019,"Preston","BxN-RIL-348-11","V1",4
"178",55,126,1,3,0,0,55,2019,"Preston","BxN-RIL-348-11","V2",4
"179",55,126,1,3,0,0,55,2019,"Preston","BxN-RIL-348-11","V3",4
"180",55,126,1,3,0,0,55,2019,"Preston","BxN-RIL-348-11","W1",0
"181",55,126,1,3,0,0,55,2019,"Preston","BxN-RIL-348-11","W2",5
"182",55,126,1,3,0,0,55,2019,"Preston","BxN-RIL-348-11","W3",4
"183",570,127,1,3,0,0,570,2019,"Preston","NxB-RIL-370-14","STD",2
"184",570,127,1,3,0,0,570,2019,"Preston","NxB-RIL-370-14","V1",2
"185",570,127,1,3,0,0,570,2019,"Preston","NxB-RIL-370-14","V2",4
"186",570,127,1,3,0,0,570,2019,"Preston","NxB-RIL-370-14","V3",1
"187",570,127,1,3,0,0,570,2019,"Preston","NxB-RIL-370-14","W1",0
"188",570,127,1,3,0,0,570,2019,"Preston","NxB-RIL-370-14","W2",6
"189",570,127,1,3,0,0,570,2019,"Preston","NxB-RIL-370-14","W3",4
"190",163,128,1,4,0,0,163,2019,"Preston","BxN-RIL-353-18","STD",2
"191",163,128,1,4,0,0,163,2019,"Preston","BxN-RIL-353-18","V1",2
"192",163,128,1,4,0,0,163,2019,"Preston","BxN-RIL-353-18","V2",3
"193",163,128,1,4,0,0,163,2019,"Preston","BxN-RIL-353-18","V3",2
"194",163,128,1,4,0,0,163,2019,"Preston","BxN-RIL-353-18","W1",0
"195",163,128,1,4,0,0,163,2019,"Preston","BxN-RIL-353-18","W2",3
"196",163,128,1,4,0,0,163,2019,"Preston","BxN-RIL-353-18","W3",5
"197",241,129,1,4,0,0,241,2019,"Preston","BxN-RIL-357-12","STD",2
"198",241,129,1,4,0,0,241,2019,"Preston","BxN-RIL-357-12","V1",3
"199",241,129,1,4,0,0,241,2019,"Preston","BxN-RIL-357-12","V2",3
"200",241,129,1,4,0,0,241,2019,"Preston","BxN-RIL-357-12","V3",2
"201",241,129,1,4,0,0,241,2019,"Preston","BxN-RIL-357-12","W1",0
"202",241,129,1,4,0,0,241,2019,"Preston","BxN-RIL-357-12","W2",4
