"IDROWCOL","Value"
"2019_Preston_STD_1_1",3
"2019_Preston_V1_1_1",2
"2019_Preston_V2_1_1",3
"2019_Preston_V3_1_1",2
"2019_Preston_W1_1_1",3
"2019_Preston_W2_1_1",5
"2019_Preston_W3_1_1",0
"2019_Preston_STD_1_2",3
"2019_Preston_V1_1_2",3
"2019_Preston_V2_1_2",4
"2019_Preston_V3_1_2",3
"2019_Preston_W1_1_2",0
"2019_Preston_W2_1_2",4
"2019_Preston_W3_1_2",1
"2019_Preston_STD_1_3",3
"2019_Preston_V1_1_3",4
"2019_Preston_V2_1_3",4
"2019_Preston_V3_1_3",3
"2019_Preston_W1_1_3",0
"2019_Preston_W2_1_3",4
"2019_Preston_W3_1_3",1
"2019_Preston_STD_1_4",3
"2019_Preston_V1_1_4",3
"2019_Preston_V2_1_4",4
"2019_Preston_V3_1_4",3
"2019_Preston_W1_1_4",0
"2019_Preston_W2_1_4",4
"2019_Preston_W3_1_4",4
"2019_Preston_STD_1_5",4
"2019_Preston_V1_1_5",3
"2019_Preston_V2_1_5",4
"2019_Preston_V3_1_5",3
"2019_Preston_W1_1_5",0
"2019_Preston_W2_1_5",6
"2019_Preston_W3_1_5",2
"2019_Preston_STD_1_6",3
"2019_Preston_V1_1_6",4
"2019_Preston_V2_1_6",3
"2019_Preston_V3_1_6",3
"2019_Preston_W1_1_6",0
"2019_Preston_W2_1_6",5
"2019_Preston_W3_1_6",0
"2019_Preston_STD_1_7",3
"2019_Preston_V1_1_7",4
"2019_Preston_V2_1_7",4
"2019_Preston_V3_1_7",3
"2019_Preston_W1_1_7",0
"2019_Preston_W2_1_7",5
"2019_Preston_W3_1_7",2
"2019_Preston_STD_1_8",3
"2019_Preston_V1_1_8",4
"2019_Preston_V2_1_8",4
"2019_Preston_V3_1_8",4
"2019_Preston_W1_1_8",0
"2019_Preston_W2_1_8",4
"2019_Preston_W3_1_8",1
"2019_Preston_STD_1_9",3
"2019_Preston_V1_1_9",3
"2019_Preston_V2_1_9",3
"2019_Preston_V3_1_9",3
