Control Plot Data Coeff of Variation,,,,
IDX,Value,adjmth1,adjmth3,adjmth13
2019_Preston_STD,25.36302907,21.99236536,18.70123114,22.54374052
2019_Preston_V1,24.76788033,20.22562151,21.88939221,20.4468973
2019_Preston_V2,34.20124652,22.22088108,21.00748516,24.13267927
2019_Preston_V3,30.18686224,18.66520299,14.48361545,22.26330896
2019_Preston_W1,94.04548535,81.57167554,84.52469425,88.71892763
2019_Preston_W2,31.71836614,23.55981091,19.66062854,21.94140309
2019_Preston_W3,55.41871705,49.71162658,46.95522151,53.00155144
Control Plot Data MEAN,,,,
IDX,Value,adjmth1,adjmth3,adjmth13
2019_Preston_STD,2.744444444,2.744444444,2.744444444,2.677320779
2019_Preston_V1,2.744444444,2.744444444,2.744444444,2.714744138
2019_Preston_V2,2.488888889,2.488888889,2.488888889,2.291718355
2019_Preston_V3,2.288888889,2.288888889,2.288888889,1.918967922
2019_Preston_W1,1.577777778,1.352839506,1.489229816,1.127267234
2019_Preston_W2,3.722222222,3.722222222,3.722222222,3.996775016
2019_Preston_W3,2.133333333,2.063333333,2.094586162,1.876689592
Control Sub Plot Data Coeff of Variation,,,,
IDX,Value,adjmth1,adjmth3,adjmth13
2019_Preston_STD,36.91721667,35.87712538,37.71669546,36.62374679
2019_Preston_V1,22.26808857,26.11577321,23.03754615,26.32969417
2019_Preston_V2,23.77176798,24.39784144,21.99053236,25.90328746
2019_Preston_V3,14.40876319,16.97991035,13.68301422,19.31873369
2019_Preston_W1,98.62966415,104.1671113,94.26005465,110.0566752
2019_Preston_W2,50,48.82369531,49.97641087,45.83288741
2019_Preston_W3,53.62865892,60.28332954,53.98425806,63.95015569
Control Sub Plot Mean,,,,
IDX,Value,adjmth1,adjmth3,adjmth13
2019_Preston_STD,3.166666667,3.292592593,3.099543002,3.225468927
2019_Preston_V1,3.666666667,3.655555556,3.71444542,3.625855249
2019_Preston_V2,3.166666667,3.392592593,3.22667509,3.195422059
2019_Preston_V3,2.833333333,3.055555556,2.983613726,2.685634589
2019_Preston_W1,2.166666667,1.907407407,1.995047378,1.699186848
2019_Preston_W2,4,4.207407407,4.021119446,4.481960201
2019_Preston_W3,3.666666667,3.52962963,3.619962487,3.327244849
