"Record","Plot","Row","Column","Cp","Csp","Entry","Year","Location","Genotype","Trait","Value","ID","IDROW","IDCOL","IDX","IDROWCOL","adjmth1","adjmth3","adjmth13","IDXGT"
715,105,1,1,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_1","2019_Preston_STD","2019_Preston_STD_1_1",2.87777777777778,2.9328763348507,2.81065411262847,"2019_Preston_STD_NorLin"
715,105,1,1,1,0,715,2019,"Preston","NorLin","V1",2,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_1","2019_Preston_V1","2019_Preston_V1_1_1",1.85555555555556,2.08651828334684,1.82585524933201,"2019_Preston_V1_NorLin"
715,105,1,1,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_1","2019_Preston_V2","2019_Preston_V2_1_1",2.01111111111111,2.80282946626847,1.81394057737959,"2019_Preston_V2_NorLin"
715,105,1,1,1,0,715,2019,"Preston","NorLin","V3",2,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_1","2019_Preston_V3","2019_Preston_V3_1_1",1.77777777777778,2.15028039284054,1.40785681078568,"2019_Preston_V3_NorLin"
715,105,1,1,1,0,715,2019,"Preston","NorLin","W1",3,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_1","2019_Preston_W1","2019_Preston_W1_1_1",3.62222222222222,2.68766916156347,3.30989138378569,"2019_Preston_W1_NorLin"
715,105,1,1,1,0,715,2019,"Preston","NorLin","W2",5,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_1","2019_Preston_W2","2019_Preston_W2_1_1",4.45555555555556,4.51425274916654,4.7301083495049,"2019_Preston_W2_NorLin"
715,105,1,1,1,0,715,2019,"Preston","NorLin","W3",0,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_1","2019_Preston_W3","2019_Preston_W3_1_1",0,0,0,"2019_Preston_W3_NorLin"
715,114,1,2,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_2","2019_Preston_STD","2019_Preston_STD_1_2",2.47777777777778,2.9328763348507,2.41065411262848,"2019_Preston_STD_NorLin"
715,114,1,2,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_2","2019_Preston_V1","2019_Preston_V1_1_2",2.25555555555556,2.97029969377646,2.22585524933201,"2019_Preston_V1_NorLin"
715,114,1,2,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_2","2019_Preston_V2","2019_Preston_V2_1_2",2.21111111111111,3.41706103070679,2.01394057737959,"2019_Preston_V2_NorLin"
715,114,1,2,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_2","2019_Preston_V3","2019_Preston_V3_1_2",2.17777777777778,2.6300790330079,1.80785681078568,"2019_Preston_V3_NorLin"
715,114,1,2,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_2","2019_Preston_W1","2019_Preston_W1_1_2",0,0,0,"2019_Preston_W1_NorLin"
715,114,1,2,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_2","2019_Preston_W2","2019_Preston_W2_1_2",3.25555555555556,3.89440277155794,3.5301083495049,"2019_Preston_W2_NorLin"
715,114,1,2,1,0,715,2019,"Preston","NorLin","W3",1,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_2","2019_Preston_W3","2019_Preston_W3_1_2",2.02222222222222,1.26465702036442,1.81983744194355,"2019_Preston_W3_NorLin"
715,123,1,3,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_3","2019_Preston_STD","2019_Preston_STD_1_3",2.37777777777778,2.9328763348507,2.31065411262847,"2019_Preston_STD_NorLin"
715,123,1,3,1,0,715,2019,"Preston","NorLin","V1",4,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_3","2019_Preston_V1","2019_Preston_V1_1_3",3.05555555555556,3.85408110420607,3.02585524933201,"2019_Preston_V1_NorLin"
715,123,1,3,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_3","2019_Preston_V2","2019_Preston_V2_1_3",2.51111111111111,3.41706103070679,2.31394057737959,"2019_Preston_V2_NorLin"
715,123,1,3,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_3","2019_Preston_V3","2019_Preston_V3_1_3",1.97777777777778,2.6300790330079,1.60785681078568,"2019_Preston_V3_NorLin"
715,123,1,3,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_3","2019_Preston_W1","2019_Preston_W1_1_3",0,0,0,"2019_Preston_W1_NorLin"
715,123,1,3,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_3","2019_Preston_W2","2019_Preston_W2_1_3",2.55555555555556,3.89440277155794,2.8301083495049,"2019_Preston_W2_NorLin"
715,123,1,3,1,0,715,2019,"Preston","NorLin","W3",1,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_3","2019_Preston_W3","2019_Preston_W3_1_3",1.32222222222222,1.26465702036442,1.11983744194355,"2019_Preston_W3_NorLin"
