"Record","Plot","Row","Column","Cp","Csp","Entry","Year","Location","Genotype","Trait","Value","ID","IDROW","IDCOL","IDX","IDROWCOL","adjmth1","adjmth3","control_genotypes"
715,105,1,1,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_1","2019_Preston_STD","2019_Preston_STD_1_1",2.87777777777778,2.9328763348507,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","V1",2,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_1","2019_Preston_V1","2019_Preston_V1_1_1",1.85555555555556,2.08651828334684,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_1","2019_Preston_V2","2019_Preston_V2_1_1",2.01111111111111,2.80282946626847,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","V3",2,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_1","2019_Preston_V3","2019_Preston_V3_1_1",1.77777777777778,2.15028039284054,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","W1",3,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_1","2019_Preston_W1","2019_Preston_W1_1_1",3.62222222222222,2.68766916156347,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","W2",5,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_1","2019_Preston_W2","2019_Preston_W2_1_1",4.45555555555556,4.51425274916654,0
715,105,1,1,1,0,715,2019,"Preston","NorLin","W3",0,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_1","2019_Preston_W3","2019_Preston_W3_1_1",0,0,0
715,114,1,2,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_2","2019_Preston_STD","2019_Preston_STD_1_2",2.47777777777778,2.9328763348507,0
715,114,1,2,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_2","2019_Preston_V1","2019_Preston_V1_1_2",2.25555555555556,2.97029969377646,0
715,114,1,2,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_2","2019_Preston_V2","2019_Preston_V2_1_2",2.21111111111111,3.41706103070679,0
715,114,1,2,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_2","2019_Preston_V3","2019_Preston_V3_1_2",2.17777777777778,2.6300790330079,0
715,114,1,2,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_2","2019_Preston_W1","2019_Preston_W1_1_2",0,0,0
715,114,1,2,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_2","2019_Preston_W2","2019_Preston_W2_1_2",3.25555555555556,3.89440277155794,0
715,114,1,2,1,0,715,2019,"Preston","NorLin","W3",1,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_2","2019_Preston_W3","2019_Preston_W3_1_2",2.02222222222222,1.26465702036442,0
715,123,1,3,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_3","2019_Preston_STD","2019_Preston_STD_1_3",2.37777777777778,2.9328763348507,0
715,123,1,3,1,0,715,2019,"Preston","NorLin","V1",4,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_3","2019_Preston_V1","2019_Preston_V1_1_3",3.05555555555556,3.85408110420607,0
715,123,1,3,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_3","2019_Preston_V2","2019_Preston_V2_1_3",2.51111111111111,3.41706103070679,0
715,123,1,3,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_3","2019_Preston_V3","2019_Preston_V3_1_3",1.97777777777778,2.6300790330079,0
715,123,1,3,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_3","2019_Preston_W1","2019_Preston_W1_1_3",0,0,0
715,123,1,3,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_3","2019_Preston_W2","2019_Preston_W2_1_3",2.55555555555556,3.89440277155794,0
715,123,1,3,1,0,715,2019,"Preston","NorLin","W3",1,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_3","2019_Preston_W3","2019_Preston_W3_1_3",1.32222222222222,1.26465702036442,0
715,132,1,4,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_4","2019_Preston_STD","2019_Preston_STD_1_4",2.37777777777778,2.9328763348507,0
715,132,1,4,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_4","2019_Preston_V1","2019_Preston_V1_1_4",2.15555555555556,2.97029969377646,0
715,132,1,4,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_4","2019_Preston_V2","2019_Preston_V2_1_4",2.41111111111111,3.41706103070679,0
715,132,1,4,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_4","2019_Preston_V3","2019_Preston_V3_1_4",2.37777777777778,2.6300790330079,0
715,132,1,4,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_4","2019_Preston_W1","2019_Preston_W1_1_4",0,0,0
715,132,1,4,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_4","2019_Preston_W2","2019_Preston_W2_1_4",2.45555555555556,3.89440277155794,0
715,132,1,4,1,0,715,2019,"Preston","NorLin","W3",4,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_4","2019_Preston_W3","2019_Preston_W3_1_4",4.22222222222222,3.56409431939979,0
715,141,1,5,1,0,715,2019,"Preston","NorLin","STD",4,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_5","2019_Preston_STD","2019_Preston_STD_1_5",3.27777777777778,3.67021851470125,0
715,141,1,5,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_5","2019_Preston_V1","2019_Preston_V1_1_5",2.45555555555556,2.97029969377646,0
715,141,1,5,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_5","2019_Preston_V2","2019_Preston_V2_1_5",3.21111111111111,3.41706103070679,0
715,141,1,5,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_5","2019_Preston_V3","2019_Preston_V3_1_5",2.67777777777778,2.6300790330079,0
715,141,1,5,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_5","2019_Preston_W1","2019_Preston_W1_1_5",0,0,0
715,141,1,5,1,0,715,2019,"Preston","NorLin","W2",6,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_5","2019_Preston_W2","2019_Preston_W2_1_5",4.65555555555556,5.13410272677514,0
715,141,1,5,1,0,715,2019,"Preston","NorLin","W3",2,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_5","2019_Preston_W3","2019_Preston_W3_1_5",3.12222222222222,2.03113612004287,0
715,150,1,6,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_6","2019_Preston_STD","2019_Preston_STD_1_6",3.07777777777778,2.9328763348507,0
715,150,1,6,1,0,715,2019,"Preston","NorLin","V1",4,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_6","2019_Preston_V1","2019_Preston_V1_1_6",3.65555555555556,3.85408110420607,0
715,150,1,6,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_6","2019_Preston_V2","2019_Preston_V2_1_6",2.41111111111111,2.80282946626847,0
715,150,1,6,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_6","2019_Preston_V3","2019_Preston_V3_1_6",2.37777777777778,2.6300790330079,0
715,150,1,6,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_6","2019_Preston_W1","2019_Preston_W1_1_6",0,0,0
715,150,1,6,1,0,715,2019,"Preston","NorLin","W2",5,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_6","2019_Preston_W2","2019_Preston_W2_1_6",3.65555555555556,4.51425274916654,0
715,150,1,6,1,0,715,2019,"Preston","NorLin","W3",0,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_6","2019_Preston_W3","2019_Preston_W3_1_6",0,0,0
715,159,1,7,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_7","2019_Preston_STD","2019_Preston_STD_1_7",2.67777777777778,2.9328763348507,0
715,159,1,7,1,0,715,2019,"Preston","NorLin","V1",4,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_7","2019_Preston_V1","2019_Preston_V1_1_7",3.35555555555556,3.85408110420607,0
715,159,1,7,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_7","2019_Preston_V2","2019_Preston_V2_1_7",2.81111111111111,3.41706103070679,0
715,159,1,7,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_7","2019_Preston_V3","2019_Preston_V3_1_7",2.17777777777778,2.6300790330079,0
715,159,1,7,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_7","2019_Preston_W1","2019_Preston_W1_1_7",0,0,0
715,159,1,7,1,0,715,2019,"Preston","NorLin","W2",5,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_7","2019_Preston_W2","2019_Preston_W2_1_7",3.55555555555556,4.51425274916654,0
715,159,1,7,1,0,715,2019,"Preston","NorLin","W3",2,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_7","2019_Preston_W3","2019_Preston_W3_1_7",2.22222222222222,2.03113612004287,0
715,168,1,8,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_8","2019_Preston_STD","2019_Preston_STD_1_8",2.87777777777778,2.9328763348507,0
715,168,1,8,1,0,715,2019,"Preston","NorLin","V1",4,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_8","2019_Preston_V1","2019_Preston_V1_1_8",3.55555555555556,3.85408110420607,0
715,168,1,8,1,0,715,2019,"Preston","NorLin","V2",4,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_8","2019_Preston_V2","2019_Preston_V2_1_8",2.91111111111111,3.41706103070679,0
715,168,1,8,1,0,715,2019,"Preston","NorLin","V3",4,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_8","2019_Preston_V3","2019_Preston_V3_1_8",3.17777777777778,3.10987767317527,0
715,168,1,8,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_8","2019_Preston_W1","2019_Preston_W1_1_8",0,0,0
715,168,1,8,1,0,715,2019,"Preston","NorLin","W2",4,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_8","2019_Preston_W2","2019_Preston_W2_1_8",2.95555555555556,3.89440277155794,0
715,168,1,8,1,0,715,2019,"Preston","NorLin","W3",1,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_8","2019_Preston_W3","2019_Preston_W3_1_8",1.82222222222222,1.26465702036442,0
715,177,1,9,1,0,715,2019,"Preston","NorLin","STD",3,"2019_Preston_NorLin","2019_Preston_STD_1","2019_Preston_STD_9","2019_Preston_STD","2019_Preston_STD_1_9",2.67777777777778,2.9328763348507,0
715,177,1,9,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_1","2019_Preston_V1_9","2019_Preston_V1","2019_Preston_V1_1_9",2.35555555555556,2.97029969377646,0
715,177,1,9,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_1","2019_Preston_V2_9","2019_Preston_V2","2019_Preston_V2_1_9",1.91111111111111,2.80282946626847,0
715,177,1,9,1,0,715,2019,"Preston","NorLin","V3",3,"2019_Preston_NorLin","2019_Preston_V3_1","2019_Preston_V3_9","2019_Preston_V3","2019_Preston_V3_1_9",1.87777777777778,2.6300790330079,0
715,177,1,9,1,0,715,2019,"Preston","NorLin","W1",0,"2019_Preston_NorLin","2019_Preston_W1_1","2019_Preston_W1_9","2019_Preston_W1","2019_Preston_W1_1_9",0,0,0
715,177,1,9,1,0,715,2019,"Preston","NorLin","W2",7,"2019_Preston_NorLin","2019_Preston_W2_1","2019_Preston_W2_9","2019_Preston_W2","2019_Preston_W2_1_9",5.95555555555556,5.75395270438374,0
715,177,1,9,1,0,715,2019,"Preston","NorLin","W3",2,"2019_Preston_NorLin","2019_Preston_W3_1","2019_Preston_W3_9","2019_Preston_W3","2019_Preston_W3_1_9",1.92222222222222,2.03113612004287,0
715,186,2,1,1,0,715,2019,"Preston","NorLin","STD",2,"2019_Preston_NorLin","2019_Preston_STD_2","2019_Preston_STD_1","2019_Preston_STD","2019_Preston_STD_2_1",2.32222222222222,2.19553415500014,0
715,186,2,1,1,0,715,2019,"Preston","NorLin","V1",3,"2019_Preston_NorLin","2019_Preston_V1_2","2019_Preston_V1_1","2019_Preston_V1","2019_Preston_V1_2_1",3.3,2.97029969377646,0
715,186,2,1,1,0,715,2019,"Preston","NorLin","V2",3,"2019_Preston_NorLin","2019_Preston_V2_2","2019_Preston_V2_1","2019_Preston_V2","2019_Preston_V2_2_1",2.56666666666667,2.80282946626847,0
715,186,2,1,1,0,715,2019,"Preston","NorLin","V3",1,"2019_Preston_NorLin","2019_Preston_V3_2","2019_Preston_V3_1","2019_Preston_V3","2019_Preston_V3_2_1",1.55555555555556,1.67048175267318,0
715,186,2,1,1,0,715,2019,"Preston","NorLin","W1",1,"2019_Preston_NorLin","2019_Preston_W1_2","2019_Preston_W1_1","2019_Preston_W1","2019_Preston_W1_2_1",1.28888888888889,1.12688440311484,0
