IDXGT,adjmth1
2019_Preston_STD_Flanders,4.233333333
2019_Preston_STD_Flanders,2.322222222
2019_Preston_STD_Flanders,2.822222222
2019_Preston_STD_NorLin,2.877777778
2019_Preston_STD_NorLin,2.477777778
2019_Preston_STD_NorLin,2.377777778
2019_Preston_STD_NorLin,2.377777778
2019_Preston_STD_NorLin,3.277777778
2019_Preston_STD_NorLin,3.077777778
2019_Preston_STD_NorLin,2.677777778
2019_Preston_STD_NorLin,2.877777778
2019_Preston_STD_NorLin,2.677777778
2019_Preston_STD_NorLin,2.322222222
2019_Preston_STD_NorLin,2.922222222
2019_Preston_STD_NorLin,2.822222222
2019_Preston_STD_NorLin,3.822222222
2019_Preston_STD_NorLin,2.722222222
2019_Preston_STD_NorLin,3.522222222
2019_Preston_STD_NorLin,2.122222222
2019_Preston_STD_NorLin,2.322222222
2019_Preston_STD_NorLin,2.122222222
2019_Preston_STD_NorLin,1.322222222
2019_Preston_STD_NorLin,2.922222222
2019_Preston_STD_NorLin,2.822222222
2019_Preston_STD_NorLin,2.822222222
2019_Preston_STD_NorLin,3.722222222
2019_Preston_STD_NorLin,2.522222222
2019_Preston_STD_NorLin,3.122222222
2019_Preston_STD_NorLin,2.322222222
2019_Preston_STD_NorLin,3.122222222
2019_Preston_STD_NorLin,3.211111111
2019_Preston_STD_NorLin,3.811111111
2019_Preston_STD_NorLin,2.711111111
2019_Preston_STD_NorLin,2.711111111
2019_Preston_STD_NorLin,2.611111111
2019_Preston_STD_NorLin,3.411111111
2019_Preston_STD_NorLin,2.011111111
2019_Preston_STD_NorLin,2.211111111
2019_Preston_STD_NorLin,2.011111111
2019_Preston_STD_NorLin,3.544444444
2019_Preston_STD_NorLin,3.144444444
2019_Preston_STD_NorLin,2.044444444
2019_Preston_STD_NorLin,2.044444444
2019_Preston_STD_NorLin,1.944444444
2019_Preston_STD_NorLin,3.744444444
2019_Preston_STD_NorLin,2.344444444
2019_Preston_STD_NorLin,3.544444444
2019_Preston_STD_NorLin,2.344444444
2019_Preston_STD_NorLin,3.433333333
2019_Preston_STD_NorLin,3.033333333
2019_Preston_STD_NorLin,2.933333333
2019_Preston_STD_NorLin,2.933333333
2019_Preston_STD_NorLin,1.833333333
2019_Preston_STD_NorLin,1.633333333
2019_Preston_STD_NorLin,3.233333333
2019_Preston_STD_NorLin,2.433333333
2019_Preston_STD_NorLin,3.233333333
2019_Preston_STD_NorLin,3.322222222
2019_Preston_STD_NorLin,2.922222222
2019_Preston_STD_NorLin,2.822222222
2019_Preston_STD_NorLin,2.822222222
2019_Preston_STD_NorLin,2.722222222
2019_Preston_STD_NorLin,2.522222222
2019_Preston_STD_NorLin,2.122222222
2019_Preston_STD_NorLin,3.322222222
2019_Preston_STD_NorLin,2.122222222
2019_Preston_STD_NorLin,2.322222222
2019_Preston_STD_NorLin,1.922222222
2019_Preston_STD_NorLin,2.822222222
2019_Preston_STD_NorLin,1.822222222
2019_Preston_STD_NorLin,2.722222222
2019_Preston_STD_NorLin,2.522222222
2019_Preston_STD_NorLin,3.122222222
2019_Preston_STD_NorLin,3.322222222
2019_Preston_STD_NorLin,4.122222222
2019_Preston_STD_NorLin,2.322222222
2019_Preston_STD_NorLin,2.922222222
2019_Preston_STD_NorLin,2.822222222
2019_Preston_STD_NorLin,2.822222222
2019_Preston_STD_NorLin,2.722222222
2019_Preston_STD_NorLin,2.522222222
2019_Preston_STD_NorLin,2.122222222
2019_Preston_STD_NorLin,3.322222222
2019_Preston_STD_NorLin,3.122222222
2019_Preston_STD_NorLin,2.766666667
2019_Preston_STD_NorLin,1.366666667
2019_Preston_STD_NorLin,3.266666667
2019_Preston_STD_NorLin,3.266666667
2019_Preston_STD_NorLin,3.166666667
2019_Preston_STD_NorLin,1.966666667
2019_Preston_STD_NorLin,4.566666667
2019_Preston_STD_NorLin,1.766666667
2019_Preston_STD_NorLin,2.566666667
2019_Preston_STD_Novelty,5.233333333
2019_Preston_STD_Novelty,2.322222222
2019_Preston_STD_Novelty,2.822222222
2019_Preston_V1_Flanders,4.244444444
2019_Preston_V1_Flanders,3.111111111
2019_Preston_V1_Flanders,2.611111111
2019_Preston_V1_NorLin,1.855555556
2019_Preston_V1_NorLin,2.255555556
2019_Preston_V1_NorLin,3.055555556
2019_Preston_V1_NorLin,2.155555556
2019_Preston_V1_NorLin,2.455555556
2019_Preston_V1_NorLin,3.655555556
2019_Preston_V1_NorLin,3.355555556
2019_Preston_V1_NorLin,3.555555556
2019_Preston_V1_NorLin,2.355555556
2019_Preston_V1_NorLin,3.3
2019_Preston_V1_NorLin,1.7
2019_Preston_V1_NorLin,2.5
2019_Preston_V1_NorLin,3.6
2019_Preston_V1_NorLin,2.9
2019_Preston_V1_NorLin,3.1
2019_Preston_V1_NorLin,2.8
2019_Preston_V1_NorLin,3
2019_Preston_V1_NorLin,1.8
2019_Preston_V1_NorLin,2.633333333
2019_Preston_V1_NorLin,3.033333333
2019_Preston_V1_NorLin,2.833333333
2019_Preston_V1_NorLin,2.933333333
2019_Preston_V1_NorLin,3.233333333
2019_Preston_V1_NorLin,2.433333333
2019_Preston_V1_NorLin,3.133333333
2019_Preston_V1_NorLin,2.333333333
2019_Preston_V1_NorLin,2.133333333
2019_Preston_V1_NorLin,3.633333333
2019_Preston_V1_NorLin,4.033333333
2019_Preston_V1_NorLin,2.833333333
2019_Preston_V1_NorLin,2.933333333
2019_Preston_V1_NorLin,2.233333333
2019_Preston_V1_NorLin,2.433333333
2019_Preston_V1_NorLin,2.133333333
2019_Preston_V1_NorLin,2.333333333
2019_Preston_V1_NorLin,2.133333333
2019_Preston_V1_NorLin,2.633333333
2019_Preston_V1_NorLin,3.033333333
2019_Preston_V1_NorLin,2.833333333
2019_Preston_V1_NorLin,2.933333333
2019_Preston_V1_NorLin,2.233333333
2019_Preston_V1_NorLin,3.433333333
2019_Preston_V1_NorLin,3.133333333
2019_Preston_V1_NorLin,2.333333333
2019_Preston_V1_NorLin,2.133333333
2019_Preston_V1_NorLin,2.744444444
2019_Preston_V1_NorLin,3.144444444
2019_Preston_V1_NorLin,2.944444444
2019_Preston_V1_NorLin,3.044444444
2019_Preston_V1_NorLin,2.344444444
2019_Preston_V1_NorLin,2.544444444
2019_Preston_V1_NorLin,2.244444444
2019_Preston_V1_NorLin,2.444444444
2019_Preston_V1_NorLin,3.244444444
2019_Preston_V1_NorLin,3.411111111
2019_Preston_V1_NorLin,2.811111111
2019_Preston_V1_NorLin,2.611111111
2019_Preston_V1_NorLin,2.711111111
2019_Preston_V1_NorLin,3.011111111
2019_Preston_V1_NorLin,2.211111111
2019_Preston_V1_NorLin,1.911111111
2019_Preston_V1_NorLin,3.111111111
2019_Preston_V1_NorLin,2.911111111
2019_Preston_V1_NorLin,2.855555556
2019_Preston_V1_NorLin,2.255555556
2019_Preston_V1_NorLin,2.055555556
2019_Preston_V1_NorLin,2.155555556
2019_Preston_V1_NorLin,3.455555556
2019_Preston_V1_NorLin,2.655555556
2019_Preston_V1_NorLin,3.355555556
2019_Preston_V1_NorLin,2.555555556
2019_Preston_V1_NorLin,3.355555556
2019_Preston_V1_NorLin,2.411111111
2019_Preston_V1_NorLin,2.811111111
2019_Preston_V1_NorLin,1.611111111
2019_Preston_V1_NorLin,2.711111111
2019_Preston_V1_NorLin,3.011111111
2019_Preston_V1_NorLin,3.211111111
2019_Preston_V1_NorLin,1.911111111
2019_Preston_V1_NorLin,3.111111111
2019_Preston_V1_NorLin,3.911111111
2019_Preston_V1_NorLin,1.966666667
2019_Preston_V1_NorLin,2.366666667
2019_Preston_V1_NorLin,4.166666667
2019_Preston_V1_NorLin,2.266666667
2019_Preston_V1_NorLin,2.566666667
2019_Preston_V1_NorLin,1.766666667
2019_Preston_V1_NorLin,3.466666667
2019_Preston_V1_NorLin,2.666666667
2019_Preston_V1_NorLin,3.466666667
2019_Preston_V1_Novelty,5.244444444
2019_Preston_V1_Novelty,3.111111111
2019_Preston_V1_Novelty,3.611111111
2019_Preston_V2_Flanders,3.588888889
2019_Preston_V2_Flanders,3.244444444
2019_Preston_V2_Flanders,1.844444444
2019_Preston_V2_NorLin,2.011111111
2019_Preston_V2_NorLin,2.211111111
2019_Preston_V2_NorLin,2.511111111
2019_Preston_V2_NorLin,2.411111111
2019_Preston_V2_NorLin,3.211111111
2019_Preston_V2_NorLin,2.411111111
2019_Preston_V2_NorLin,2.811111111
2019_Preston_V2_NorLin,2.911111111
2019_Preston_V2_NorLin,1.911111111
2019_Preston_V2_NorLin,2.566666667
2019_Preston_V2_NorLin,1.766666667
2019_Preston_V2_NorLin,3.066666667
2019_Preston_V2_NorLin,2.966666667
2019_Preston_V2_NorLin,2.766666667
2019_Preston_V2_NorLin,2.966666667
2019_Preston_V2_NorLin,2.366666667
2019_Preston_V2_NorLin,1.466666667
2019_Preston_V2_NorLin,2.466666667
2019_Preston_V2_NorLin,1.9
2019_Preston_V2_NorLin,2.1
2019_Preston_V2_NorLin,3.4
2019_Preston_V2_NorLin,3.3
2019_Preston_V2_NorLin,3.1
2019_Preston_V2_NorLin,2.3
2019_Preston_V2_NorLin,2.7
2019_Preston_V2_NorLin,1.8
2019_Preston_V2_NorLin,1.8
2019_Preston_V2_NorLin,2.455555556
2019_Preston_V2_NorLin,2.655555556
2019_Preston_V2_NorLin,2.955555556
2019_Preston_V2_NorLin,2.855555556
2019_Preston_V2_NorLin,2.655555556
2019_Preston_V2_NorLin,2.855555556
2019_Preston_V2_NorLin,2.255555556
2019_Preston_V2_NorLin,2.355555556
2019_Preston_V2_NorLin,1.355555556
2019_Preston_V2_NorLin,1.677777778
2019_Preston_V2_NorLin,3.877777778
2019_Preston_V2_NorLin,3.177777778
2019_Preston_V2_NorLin,2.077777778
2019_Preston_V2_NorLin,1.877777778
2019_Preston_V2_NorLin,2.077777778
2019_Preston_V2_NorLin,2.477777778
2019_Preston_V2_NorLin,2.577777778
2019_Preston_V2_NorLin,2.577777778
2019_Preston_V2_NorLin,1.788888889
2019_Preston_V2_NorLin,2.988888889
2019_Preston_V2_NorLin,2.288888889
2019_Preston_V2_NorLin,2.188888889
2019_Preston_V2_NorLin,1.988888889
2019_Preston_V2_NorLin,2.188888889
2019_Preston_V2_NorLin,2.588888889
2019_Preston_V2_NorLin,2.688888889
2019_Preston_V2_NorLin,3.688888889
2019_Preston_V2_NorLin,2.344444444
