Record	Plot	Row	Column	Cp	Csp	Entry	Year	Location	Genotype	Trait	Value
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	STD	2
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	V1	2.62
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	V2	3.46
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	V3	2.15
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	W1	0
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	W2	4.27
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	W3	3.58
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	STD	3
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	V1	2.42
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	V2	3.24
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	V3	3.15
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	W1	0.71
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	W2	4.27
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	W3	5.27
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	STD	3
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	V1	3.81
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	V2	1.53
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	V3	1.63
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	W1	1.94
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	W2	2.89
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	W3	1.45
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	STD	1
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	V1	3.14
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	V2	3.49
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	V3	4.63
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	W1	3.24
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	W2	3.89
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	W3	4.7
102	833	10	1	0	0	102	2019	Preston	BxN-RIL-350-18	STD	4
102	833	10	1	0	0	102	2019	Preston	BxN-RIL-350-18	V1	2.98
102	833	10	1	0	0	102	2019	Preston	BxN-RIL-350-18	V2	2.93
102	833	10	1	0	0	102	2019	Preston	BxN-RIL-350-18	V3	3.63
102	833	10	1	0	0	102	2019	Preston	BxN-RIL-350-18	W1	0
102	833	10	1	0	0	102	2019	Preston	BxN-RIL-350-18	W2	4.89
102	833	10	1	0	0	102	2019	Preston	BxN-RIL-350-18	W3	6.54
103	697	8	4	0	0	103	2019	Preston	BxN-RIL-350-19	STD	2
103	697	8	4	0	0	103	2019	Preston	BxN-RIL-350-19	V1	3.17
