Record	Plot	Row	Column	Cp	Csp	Entry	Year	Location	Genotype	Trait	Value
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	STD	1.93	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	V1	1.09	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	V2	2.8	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	V3	1.15	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	W1	3.6	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	W2	4.51	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	W3	4.23	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	STD	2.93	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	V1	3.09	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	V2	2.8	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	V3	3.15	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	W1	3.6	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	W2	5.51	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	W3	5.23	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	STD	2.93	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	V1	3.09	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	V2	2.8	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	V3	3.15	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	W1	4.6	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	W2	5.51	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	W3	7.23	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	STD	1.93	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	V1	2.09	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	V2	1.8	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	V3	1.15	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	W1	2.6	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	W2	3.51	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	W3	1.23	
715	105	1	1	1	0	715	2019	Preston	NorLin	STD	2.93	
715	105	1	1	1	0	715	2019	Preston	NorLin	V1	2.09	
715	105	1	1	1	0	715	2019	Preston	NorLin	V2	2.8	
715	105	1	1	1	0	715	2019	Preston	NorLin	V3	2.15	
715	105	1	1	1	0	715	2019	Preston	NorLin	W1	2.6	
715	105	1	1	1	0	715	2019	Preston	NorLin	W2	4.51	
715	105	1	1	1	0	715	2019	Preston	NorLin	W3	0	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	STD	1.93	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	V1	2.09	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	V2	2.8	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	V3	2.15	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	W1	4.6	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	W2	5.51	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	W3	5.23	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	STD	1.93	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	V1	2.09	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	V2	3.8	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	V3	3.15	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	W1	0	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	W2	2.51	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	W3	2.23	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	STD	2.93	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	V1	3.09	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	V2	3.8	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	V3	3.15	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	W1	3.6	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	W2	3.51	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	W3	2.23	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	STD	0.93	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	V1	1.09	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	V2	2.8	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	V3	1.15	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	W1	1.6	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	W2	4.51	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	W3	5.23	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	STD	2.93	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	V1	3.97	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	V2	3.42	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	V3	3.63	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	W1	1.14	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	W2	3.89	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	W3	5.31	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	STD	0.93	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	V1	0.97	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	V2	1.42	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	V3	0.63	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	W1	0	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	W2	3.89	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	W3	0	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	STD	1.93	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	V1	1.97	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	V2	3.42	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	V3	3.63	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	W1	0	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	W2	3.89	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	W3	5.31	
374	113	1	2	0	0	374	2019	Preston	NxB-RIL-362-3	STD	1.93	
374	113	1	2	0	0	374	2019	Preston	NxB-RIL-362-3	V1	1.97	
374	113	1	2	0	0	374	2019	Preston	NxB-RIL-362-3	V2	3.42	
374	113	1	2	0	0	374	2019	Preston	NxB-RIL-362-3	V3	2.63	
374	113	1	2	0	0	374	2019	Preston	NxB-RIL-362-3	W1	3.14	
374	113	1	2	0	0	374	2019	Preston	NxB-RIL-362-3	W2	3.89	
374	113	1	2	0	0	374	2019	Preston	NxB-RIL-362-3	W3	4.31	
715	114	1	2	1	0	715	2019	Preston	NorLin	STD	2.93	
715	114	1	2	1	0	715	2019	Preston	NorLin	V1	2.97	
715	114	1	2	1	0	715	2019	Preston	NorLin	V2	3.42	
715	114	1	2	1	0	715	2019	Preston	NorLin	V3	2.63	
715	114	1	2	1	0	715	2019	Preston	NorLin	W1	0	
715	114	1	2	1	0	715	2019	Preston	NorLin	W2	3.89	
715	114	1	2	1	0	715	2019	Preston	NorLin	W3	1.31	
654	115	1	2	0	0	654	2019	Preston	NxB-RIL-373-29	STD	3.93	
654	115	1	2	0	0	654	2019	Preston	NxB-RIL-373-29	V1	3.97	
654	115	1	2	0	0	654	2019	Preston	NxB-RIL-373-29	V2	4.42	
654	115	1	2	0	0	654	2019	Preston	NxB-RIL-373-29	V3	4.63	
654	115	1	2	0	0	654	2019	Preston	NxB-RIL-373-29	W1	6.14	
654	115	1	2	0	0	654	2019	Preston	NxB-RIL-373-29	W2	7.89	
654	115	1	2	0	0	654	2019	Preston	NxB-RIL-373-29	W3	7.31	
384	116	1	2	0	0	384	2019	Preston	NxB-RIL-362-15	STD	1.93	
384	116	1	2	0	0	384	2019	Preston	NxB-RIL-362-15	V1	2.97	
384	116	1	2	0	0	384	2019	Preston	NxB-RIL-362-15	V2	4.42	
384	116	1	2	0	0	384	2019	Preston	NxB-RIL-362-15	V3	3.63	
384	116	1	2	0	0	384	2019	Preston	NxB-RIL-362-15	W1	1.14	
384	116	1	2	0	0	384	2019	Preston	NxB-RIL-362-15	W2	5.89	
384	116	1	2	0	0	384	2019	Preston	NxB-RIL-362-15	W3	5.31	
68	117	1	2	0	0	68	2019	Preston	BxN-RIL-349-1	STD	1.93	
68	117	1	2	0	0	68	2019	Preston	BxN-RIL-349-1	V1	2.97	
68	117	1	2	0	0	68	2019	Preston	BxN-RIL-349-1	V2	2.42	
68	117	1	2	0	0	68	2019	Preston	BxN-RIL-349-1	V3	2.63	
68	117	1	2	0	0	68	2019	Preston	BxN-RIL-349-1	W1	0	
68	117	1	2	0	0	68	2019	Preston	BxN-RIL-349-1	W2	3.89	
68	117	1	2	0	0	68	2019	Preston	BxN-RIL-349-1	W3	1.31	
390	118	1	2	0	0	390	2019	Preston	NxB-RIL-362-21	STD	3.93	
390	118	1	2	0	0	390	2019	Preston	NxB-RIL-362-21	V1	3.97	
390	118	1	2	0	0	390	2019	Preston	NxB-RIL-362-21	V2	4.42	
390	118	1	2	0	0	390	2019	Preston	NxB-RIL-362-21	V3	4.63	
390	118	1	2	0	0	390	2019	Preston	NxB-RIL-362-21	W1	5.14	
390	118	1	2	0	0	390	2019	Preston	NxB-RIL-362-21	W2	6.89	
390	118	1	2	0	0	390	2019	Preston	NxB-RIL-362-21	W3	8.31	
680	119	1	3	0	0	680	2019	Preston	NxB-RIL-374-29	STD	0.93	
680	119	1	3	0	0	680	2019	Preston	NxB-RIL-374-29	V1	0.85	
680	119	1	3	0	0	680	2019	Preston	NxB-RIL-374-29	V2	0.42	
680	119	1	3	0	0	680	2019	Preston	NxB-RIL-374-29	V3	0.63	
680	119	1	3	0	0	680	2019	Preston	NxB-RIL-374-29	W1	0	
680	119	1	3	0	0	680	2019	Preston	NxB-RIL-374-29	W2	3.89	
680	119	1	3	0	0	680	2019	Preston	NxB-RIL-374-29	W3	1.31	
327	120	1	3	0	0	327	2019	Preston	BxN-RIL-360-19	STD	1.93	
327	120	1	3	0	0	327	2019	Preston	BxN-RIL-360-19	V1	1.85	
327	120	1	3	0	0	327	2019	Preston	BxN-RIL-360-19	V2	1.42	
327	120	1	3	0	0	327	2019	Preston	BxN-RIL-360-19	V3	0.63	
327	120	1	3	0	0	327	2019	Preston	BxN-RIL-360-19	W1	1.17	
327	120	1	3	0	0	327	2019	Preston	BxN-RIL-360-19	W2	2.89	
327	120	1	3	0	0	327	2019	Preston	BxN-RIL-360-19	W3	1.31	
690	121	1	3	0	0	690	2019	Preston	NxB-RIL-375-8	STD	2.93	
690	121	1	3	0	0	690	2019	Preston	NxB-RIL-375-8	V1	1.85	
690	121	1	3	0	0	690	2019	Preston	NxB-RIL-375-8	V2	1.42	
690	121	1	3	0	0	690	2019	Preston	NxB-RIL-375-8	V3	1.63	
690	121	1	3	0	0	690	2019	Preston	NxB-RIL-375-8	W1	4.17	
690	121	1	3	0	0	690	2019	Preston	NxB-RIL-375-8	W2	3.89	
690	121	1	3	0	0	690	2019	Preston	NxB-RIL-375-8	W3	2.31	
401	122	1	3	0	0	401	2019	Preston	NxB-RIL-363-6	STD	1.93	
401	122	1	3	0	0	401	2019	Preston	NxB-RIL-363-6	V1	1.85	
401	122	1	3	0	0	401	2019	Preston	NxB-RIL-363-6	V2	1.42	
401	122	1	3	0	0	401	2019	Preston	NxB-RIL-363-6	V3	0.63	
401	122	1	3	0	0	401	2019	Preston	NxB-RIL-363-6	W1	0	
401	122	1	3	0	0	401	2019	Preston	NxB-RIL-363-6	W2	2.89	
401	122	1	3	0	0	401	2019	Preston	NxB-RIL-363-6	W3	0	
715	123	1	3	1	0	715	2019	Preston	NorLin	STD	2.93	
715	123	1	3	1	0	715	2019	Preston	NorLin	V1	3.85	
715	123	1	3	1	0	715	2019	Preston	NorLin	V2	3.42	
715	123	1	3	1	0	715	2019	Preston	NorLin	V3	2.63	
715	123	1	3	1	0	715	2019	Preston	NorLin	W1	0	
715	123	1	3	1	0	715	2019	Preston	NorLin	W2	3.89	
715	123	1	3	1	0	715	2019	Preston	NorLin	W3	1.31	
109	124	1	3	0	0	109	2019	Preston	BxN-RIL-351-4	STD	3.93	
109	124	1	3	0	0	109	2019	Preston	BxN-RIL-351-4	V1	2.85	
109	124	1	3	0	0	109	2019	Preston	BxN-RIL-351-4	V2	3.42	
109	124	1	3	0	0	109	2019	Preston	BxN-RIL-351-4	V3	2.63	
109	124	1	3	0	0	109	2019	Preston	BxN-RIL-351-4	W1	2.17	
109	124	1	3	0	0	109	2019	Preston	BxN-RIL-351-4	W2	4.89	
109	124	1	3	0	0	109	2019	Preston	BxN-RIL-351-4	W3	4.31	
166	125	1	3	0	0	166	2019	Preston	BxN-RIL-353-22	STD	1.93	
166	125	1	3	0	0	166	2019	Preston	BxN-RIL-353-22	V1	2.85	
166	125	1	3	0	0	166	2019	Preston	BxN-RIL-353-22	V2	3.42	
166	125	1	3	0	0	166	2019	Preston	BxN-RIL-353-22	V3	2.63	
166	125	1	3	0	0	166	2019	Preston	BxN-RIL-353-22	W1	0	
166	125	1	3	0	0	166	2019	Preston	BxN-RIL-353-22	W2	4.89	
166	125	1	3	0	0	166	2019	Preston	BxN-RIL-353-22	W3	2.31	
55	126	1	3	0	0	55	2019	Preston	BxN-RIL-348-11	STD	2.93	
55	126	1	3	0	0	55	2019	Preston	BxN-RIL-348-11	V1	3.85	
55	126	1	3	0	0	55	2019	Preston	BxN-RIL-348-11	V2	3.42	
55	126	1	3	0	0	55	2019	Preston	BxN-RIL-348-11	V3	3.63	
55	126	1	3	0	0	55	2019	Preston	BxN-RIL-348-11	W1	0	
55	126	1	3	0	0	55	2019	Preston	BxN-RIL-348-11	W2	4.89	
55	126	1	3	0	0	55	2019	Preston	BxN-RIL-348-11	W3	4.31	
570	127	1	3	0	0	570	2019	Preston	NxB-RIL-370-14	STD	1.93	
570	127	1	3	0	0	570	2019	Preston	NxB-RIL-370-14	V1	1.85	
570	127	1	3	0	0	570	2019	Preston	NxB-RIL-370-14	V2	3.42	
570	127	1	3	0	0	570	2019	Preston	NxB-RIL-370-14	V3	0.63	
570	127	1	3	0	0	570	2019	Preston	NxB-RIL-370-14	W1	0	
570	127	1	3	0	0	570	2019	Preston	NxB-RIL-370-14	W2	5.89	
570	127	1	3	0	0	570	2019	Preston	NxB-RIL-370-14	W3	4.31	
163	128	1	4	0	0	163	2019	Preston	BxN-RIL-353-18	STD	1.93	
163	128	1	4	0	0	163	2019	Preston	BxN-RIL-353-18	V1	1.97	
163	128	1	4	0	0	163	2019	Preston	BxN-RIL-353-18	V2	2.42	
163	128	1	4	0	0	163	2019	Preston	BxN-RIL-353-18	V3	1.63	
163	128	1	4	0	0	163	2019	Preston	BxN-RIL-353-18	W1	0	
163	128	1	4	0	0	163	2019	Preston	BxN-RIL-353-18	W2	2.89	
163	128	1	4	0	0	163	2019	Preston	BxN-RIL-353-18	W3	4.49	
241	129	1	4	0	0	241	2019	Preston	BxN-RIL-357-12	STD	1.93	
241	129	1	4	0	0	241	2019	Preston	BxN-RIL-357-12	V1	2.97	
241	129	1	4	0	0	241	2019	Preston	BxN-RIL-357-12	V2	2.42	
241	129	1	4	0	0	241	2019	Preston	BxN-RIL-357-12	V3	1.63	
241	129	1	4	0	0	241	2019	Preston	BxN-RIL-357-12	W1	0	
241	129	1	4	0	0	241	2019	Preston	BxN-RIL-357-12	W2	3.89	
241	129	1	4	0	0	241	2019	Preston	BxN-RIL-357-12	W3	1.49	
30	130	1	4	0	0	30	2019	Preston	BxN-RIL-347-8	STD	3.93	
30	130	1	4	0	0	30	2019	Preston	BxN-RIL-347-8	V1	2.97	
30	130	1	4	0	0	30	2019	Preston	BxN-RIL-347-8	V2	3.42	
30	130	1	4	0	0	30	2019	Preston	BxN-RIL-347-8	V3	2.63	
30	130	1	4	0	0	30	2019	Preston	BxN-RIL-347-8	W1	5.14	
30	130	1	4	0	0	30	2019	Preston	BxN-RIL-347-8	W2	6.89	
30	130	1	4	0	0	30	2019	Preston	BxN-RIL-347-8	W3	4.49	
687	131	1	4	0	0	687	2019	Preston	NxB-RIL-375-5	STD	1.93	
687	131	1	4	0	0	687	2019	Preston	NxB-RIL-375-5	V1	1.97	
687	131	1	4	0	0	687	2019	Preston	NxB-RIL-375-5	V2	2.42	
687	131	1	4	0	0	687	2019	Preston	NxB-RIL-375-5	V3	0.63	
687	131	1	4	0	0	687	2019	Preston	NxB-RIL-375-5	W1	3.14	
687	131	1	4	0	0	687	2019	Preston	NxB-RIL-375-5	W2	4.89	
687	131	1	4	0	0	687	2019	Preston	NxB-RIL-375-5	W3	3.49	
715	132	1	4	1	0	715	2019	Preston	NorLin	STD	2.93	
715	132	1	4	1	0	715	2019	Preston	NorLin	V1	2.97	
715	132	1	4	1	0	715	2019	Preston	NorLin	V2	3.42	
715	132	1	4	1	0	715	2019	Preston	NorLin	V3	2.63	
715	132	1	4	1	0	715	2019	Preston	NorLin	W1	0	
715	132	1	4	1	0	715	2019	Preston	NorLin	W2	3.89	
715	132	1	4	1	0	715	2019	Preston	NorLin	W3	3.49	
484	133	1	4	0	0	484	2019	Preston	NxB-RIL-366-23	STD	1.93	
484	133	1	4	0	0	484	2019	Preston	NxB-RIL-366-23	V1	2.97	
484	133	1	4	0	0	484	2019	Preston	NxB-RIL-366-23	V2	2.42	
484	133	1	4	0	0	484	2019	Preston	NxB-RIL-366-23	V3	2.63	
484	133	1	4	0	0	484	2019	Preston	NxB-RIL-366-23	W1	3.14	
484	133	1	4	0	0	484	2019	Preston	NxB-RIL-366-23	W2	4.89	
484	133	1	4	0	0	484	2019	Preston	NxB-RIL-366-23	W3	3.49	
