Record	Plot	Row	Column	Cp	Csp	Entry	Year	Location	Genotype	Trait	Value
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	STD	1.88	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	V1	0.86	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	V2	2.01	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	V3	0.78	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	W1	4.62	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	W2	4.46	
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	W3	5.72	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	STD	2.88	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	V1	2.86	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	V2	2.01	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	V3	2.78	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	W1	4.62	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	W2	5.46	
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	W3	6.72	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	STD	2.88	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	V1	2.86	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	V2	2.01	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	V3	2.78	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	W1	5.62	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	W2	5.46	
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	W3	8.72	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	STD	1.88	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	V1	1.86	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	V2	1.01	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	V3	0.78	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	W1	3.62	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	W2	3.46	
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	W3	2.72	
715	105	1	1	1	0	715	2019	Preston	NorLin	STD	2.88	
715	105	1	1	1	0	715	2019	Preston	NorLin	V1	1.86	
715	105	1	1	1	0	715	2019	Preston	NorLin	V2	2.01	
715	105	1	1	1	0	715	2019	Preston	NorLin	V3	1.78	
715	105	1	1	1	0	715	2019	Preston	NorLin	W1	3.62	
715	105	1	1	1	0	715	2019	Preston	NorLin	W2	4.46	
715	105	1	1	1	0	715	2019	Preston	NorLin	W3	0	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	STD	1.88	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	V1	1.86	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	V2	2.01	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	V3	1.78	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	W1	5.62	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	W2	5.46	
108	106	1	1	0	0	108	2019	Preston	BxN-RIL-351-2	W3	6.72	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	STD	1.88	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	V1	1.86	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	V2	3.01	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	V3	2.78	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	W1	0	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	W2	2.46	
456	107	1	1	0	0	456	2019	Preston	NxB-RIL-365-18	W3	3.72	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	STD	2.88	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	V1	2.86	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	V2	3.01	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	V3	2.78	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	W1	4.62	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	W2	3.46	
389	108	1	1	0	0	389	2019	Preston	NxB-RIL-362-20	W3	3.72	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	STD	0.88	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	V1	0.86	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	V2	2.01	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	V3	0.78	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	W1	2.62	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	W2	4.46	
465	109	1	1	0	0	465	2019	Preston	NxB-RIL-365-28	W3	6.72	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	STD	2.48	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	V1	3.26	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	V2	2.21	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	V3	3.18	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	W1	2.02	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	W2	3.26	
86	110	1	2	0	0	86	2019	Preston	BxN-RIL-349-23	W3	6.02	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	STD	0.48	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	V1	0.26	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	V2	0.21	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	V3	0.18	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	W1	0	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	W2	3.26	
331	111	1	2	0	0	331	2019	Preston	BxN-RIL-360-23	W3	0	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	STD	1.48	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	V1	1.26	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	V2	2.21	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	V3	3.18	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	W1	0	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	W2	3.26	
415	112	1	2	0	0	415	2019	Preston	NxB-RIL-363-25	W3	6.02	
374	113	1	2	0	0	374	2019	Preston	NxB-RIL-362-3	STD	1.48	
