Record	Plot	Row	Column	Cp	Csp	Entry	Year	Location	Genotype	Trait	Value
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	STD	1.86
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	V1	0.87
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	V2	2.07
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	V3	0.86
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	W1	4.34
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	W2	4.41
521	101	1	1	0	0	521	2019	Preston	NxB-RIL-368-16	W3	5.84
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	STD	2.86
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	V1	2.87
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	V2	2.07
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	V3	2.86
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	W1	4.34
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	W2	5.41
284	102	1	1	0	0	284	2019	Preston	BxN-RIL-359-4	W3	6.84
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	STD	2.86
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	V1	2.87
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	V2	2.07
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	V3	2.86
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	W1	5.34
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	W2	5.41
673	103	1	1	0	0	673	2019	Preston	NxB-RIL-374-22	W3	8.84
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	STD	1.86
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	V1	1.87
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	V2	1.07
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	V3	0.86
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	W1	3.34
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	W2	3.41
40	104	1	1	0	0	40	2019	Preston	BxN-RIL-347-19	W3	2.84
