Record	Plot	Row	Column	Cp	Csp	Entry	Year	Location	Genotype	Trait	Value	Raw value	Method 1	Method 3	Method 1+3	Suggested value	Suggested method
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	STD		2	2.21	1.93	2.15	2	unadj.
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	V1		2	2.63	1.97	2.62	2.62	M1+M3
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	V2		3	3.46	3.19	3.46	3.46	M1+M3
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	V3		2	2.11	2.15	2.14	2.15	M3
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	W1		0	0	0	0	0	undef
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	W2		4	5.12	4.27	5.09	4.27	M3
1	350	4	1	0	0	1	2019	Preston	BxN-RIL-346-1	W3		3	3.28	3.31	3.58	3.58	M1+M3
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	STD		3	3.32	3.2	3.37	3	unadj.
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	V1		2	2.41	2.09	2.42	2.42	M1+M3
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	V2		3	3.34	2.8	3.24	3.24	M1+M3
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	V3		3	3.33	3.15	3.32	3.15	M3
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	W1		1	0.62	1.16	0.71	0.71	M1+M3
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	W2		4	5.12	4.27	5.09	4.27	M3
10	754	9	1	0	0	10	2019	Preston	BxN-RIL-346-13	W3		5	5.39	5.04	5.27	5.27	M1+M3
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	STD		3	2.92	2.93	2.9	3	unadj.
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	V1		4	3.81	3.97	3.81	3.81	M1+M3
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	V2		2	1.54	1.8	1.53	1.53	M1+M3
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	V3		2	1.73	1.63	1.66	1.63	M3
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	W1		2	2.02	1.88	1.94	1.94	M1+M3
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	W2		3	3.92	2.89	3.83	2.89	M3
100	765	9	2	0	0	100	2019	Preston	BxN-RIL-350-15	W3		2	1.69	1.76	1.45	1.45	M1+M3
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	STD		1	1.01	1.2	1.1	1	unadj.
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	V1		3	3.13	3.09	3.14	3.14	M1+M3
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	V2		3	3.36	3.57	3.49	3.49	M1+M3
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	V3		5	4.21	4.63	4.22	4.63	M3
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	W1		2	3.36	2.16	3.24	3.24	M1+M3
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	W2		4	4.62	3.89	4.55	3.89	M3
101	422	4	9	0	0	101	2019	Preston	BxN-RIL-350-16	W3		6	4.48	5.76	4.7	4.7	M1+M3
102	833	10	1	0	0	102	2019	Preston	BxN-RIL-350-18	STD		4	3.77	3.93	3.77	4	unadj.
102	833	10	1	0	0	102	2019	Preston	BxN-RIL-350-18	V1		3	2.97	3.09	2.98	2.98	M1+M3
