Genotype	Trait	2019/Preston	Mean	CV (%)
Bison1	STD	4	4	.
Bison2	STD	5	5	.
Bison3	STD	5	5	.
Bison4	STD	2	2	.
Bison5	STD	4	4	.
BxN-RIL-346-1	STD	2	2	.
BxN-RIL-346-11	STD	3	3	.
BxN-RIL-346-13	STD	3	3	.
BxN-RIL-346-14	STD	3	3	.
BxN-RIL-346-16	STD	2	2	.
BxN-RIL-346-17	STD	2	2	.
BxN-RIL-346-18	STD	2	2	.
BxN-RIL-346-19	STD	2	2	.
BxN-RIL-346-2	STD	2	2	.
BxN-RIL-346-20	STD	3	3	.
BxN-RIL-346-21	STD	3	3	.
BxN-RIL-346-22	STD	3	3	.
BxN-RIL-346-23	STD	1	1	.
BxN-RIL-346-24	STD	3	3	.
BxN-RIL-346-25	STD	2	2	.
BxN-RIL-346-27	STD	1	1	.
BxN-RIL-346-28	STD	2	2	.
BxN-RIL-346-3	STD	2	2	.
BxN-RIL-346-5	STD	2	2	.
BxN-RIL-346-6	STD	2	2	.
BxN-RIL-346-7	STD	3	3	.
BxN-RIL-346-8	STD	3	3	.
BxN-RIL-346-9	STD	3	3	.
BxN-RIL-347-10	STD	1	1	.
BxN-RIL-347-11	STD	1	1	.
BxN-RIL-347-12	STD	2	2	.
BxN-RIL-347-13	STD	2	2	.
BxN-RIL-347-15	STD	3	3	.
BxN-RIL-347-16	STD	2	2	.
BxN-RIL-347-17	STD	2	2	.
BxN-RIL-347-18	STD	3	3	.
BxN-RIL-347-19	STD	2	2	.
BxN-RIL-347-2	STD	2	2	.
BxN-RIL-347-20	STD	1	1	.
BxN-RIL-347-21	STD	3	3	.
BxN-RIL-347-22	STD	3	3	.
BxN-RIL-347-23	STD	3	3	.
BxN-RIL-347-24	STD	2	2	.
BxN-RIL-347-3	STD	3	3	.
BxN-RIL-347-4	STD	3	3	.
BxN-RIL-347-5	STD	3	3	.
BxN-RIL-347-6	STD	2	2	.
BxN-RIL-347-7	STD	2	2	.
BxN-RIL-347-8	STD	4	4	.
BxN-RIL-347-9	STD	3	3	.
BxN-RIL-348-10	STD	3	3	.
BxN-RIL-348-11	STD	3	3	.
BxN-RIL-348-13	STD	2	2	.
BxN-RIL-348-14	STD	1	1	.
BxN-RIL-348-15	STD	3	3	.
BxN-RIL-348-16	STD	2	2	.
BxN-RIL-348-17	STD	4	4	.
BxN-RIL-348-18	STD	3	3	.
BxN-RIL-348-19	STD	1	1	.
BxN-RIL-348-2	STD	4	4	.
BxN-RIL-348-20	STD	2	2	.
BxN-RIL-348-21	STD	4	4	.
BxN-RIL-348-23	STD	2	2	.
BxN-RIL-348-24	STD	3	3	.
BxN-RIL-348-26	STD	2	2	.
BxN-RIL-348-3	STD	2	2	.
BxN-RIL-348-4	STD	5	5	.
BxN-RIL-348-5	STD	2	2	.
BxN-RIL-348-6	STD	2	2	.
BxN-RIL-348-7	STD	2	2	.
BxN-RIL-348-8	STD	3	3	.
BxN-RIL-348-9	STD	2	2	.
BxN-RIL-349-1	STD	2	2	.
BxN-RIL-349-10	STD	3	3	.
BxN-RIL-349-11	STD	3	3	.
BxN-RIL-349-12	STD	2	2	.
