garbage,X1,Record,Plot,Row,Column,Cp,Csp,Entry,Year,Location,Genotype,Trait,Value,Whole_plot
1,1,521,101,1,1,0,0,521,2019,Preston,NxB-RIL-368-16,STD,2,.
2,2,521,101,1,1,0,0,521,2019,Preston,NxB-RIL-368-16,V1,1,.
3,3,521,101,1,1,0,0,521,2019,Preston,NxB-RIL-368-16,V2,3,.
4,4,521,101,1,1,0,0,521,2019,Preston,NxB-RIL-368-16,V3,1,.
5,5,521,101,1,1,0,0,521,2019,Preston,NxB-RIL-368-16,W1,4,.
6,6,521,101,1,1,0,0,521,2019,Preston,NxB-RIL-368-16,W2,5,.
7,7,521,101,1,1,0,0,521,2019,Preston,NxB-RIL-368-16,W3,4,.
8,8,284,102,1,1,0,0,284,2019,Preston,BxN-RIL-359-4,STD,3,.
9,9,284,102,1,1,0,0,284,2019,Preston,BxN-RIL-359-4,V1,3,.
10,10,284,102,1,1,0,0,284,2019,Preston,BxN-RIL-359-4,V2,3,.
11,11,284,102,1,1,0,0,284,2019,Preston,BxN-RIL-359-4,V3,3,.
12,12,284,102,1,1,0,0,284,2019,Preston,BxN-RIL-359-4,W1,4,.
13,13,284,102,1,1,0,0,284,2019,Preston,BxN-RIL-359-4,W2,6,.
14,14,284,102,1,1,0,0,284,2019,Preston,BxN-RIL-359-4,W3,5,.
15,15,673,103,1,1,0,0,673,2019,Preston,NxB-RIL-374-22,STD,3,.
16,16,673,103,1,1,0,0,673,2019,Preston,NxB-RIL-374-22,V1,3,.
17,17,673,103,1,1,0,0,673,2019,Preston,NxB-RIL-374-22,V2,3,.
18,18,673,103,1,1,0,0,673,2019,Preston,NxB-RIL-374-22,V3,3,.
19,19,673,103,1,1,0,0,673,2019,Preston,NxB-RIL-374-22,W1,5,.
20,20,673,103,1,1,0,0,673,2019,Preston,NxB-RIL-374-22,W2,6,.
21,21,673,103,1,1,0,0,673,2019,Preston,NxB-RIL-374-22,W3,7,.
22,22,40,104,1,1,0,0,40,2019,Preston,BxN-RIL-347-19,STD,2,.
23,23,40,104,1,1,0,0,40,2019,Preston,BxN-RIL-347-19,V1,2,.
24,24,40,104,1,1,0,0,40,2019,Preston,BxN-RIL-347-19,V2,2,.
25,25,40,104,1,1,0,0,40,2019,Preston,BxN-RIL-347-19,V3,1,.
26,26,40,104,1,1,0,0,40,2019,Preston,BxN-RIL-347-19,W1,3,.
27,27,40,104,1,1,0,0,40,2019,Preston,BxN-RIL-347-19,W2,4,.
28,28,40,104,1,1,0,0,40,2019,Preston,BxN-RIL-347-19,W3,1,.
29,29,715,105,1,1,1,0,715,2019,Preston,NorLin,STD,3,1 + 1
30,30,715,105,1,1,1,0,715,2019,Preston,NorLin,V1,2,1 + 1
31,31,715,105,1,1,1,0,715,2019,Preston,NorLin,V2,3,1 + 1
32,32,715,105,1,1,1,0,715,2019,Preston,NorLin,V3,2,1 + 1
33,33,715,105,1,1,1,0,715,2019,Preston,NorLin,W1,3,1 + 1
34,34,715,105,1,1,1,0,715,2019,Preston,NorLin,W2,5,1 + 1
35,35,715,105,1,1,1,0,715,2019,Preston,NorLin,W3,0,1 + 1
36,36,108,106,1,1,0,0,108,2019,Preston,BxN-RIL-351-2,STD,2,.
37,37,108,106,1,1,0,0,108,2019,Preston,BxN-RIL-351-2,V1,2,.
38,38,108,106,1,1,0,0,108,2019,Preston,BxN-RIL-351-2,V2,3,.
39,39,108,106,1,1,0,0,108,2019,Preston,BxN-RIL-351-2,V3,2,.
40,40,108,106,1,1,0,0,108,2019,Preston,BxN-RIL-351-2,W1,5,.
41,41,108,106,1,1,0,0,108,2019,Preston,BxN-RIL-351-2,W2,6,.
42,42,108,106,1,1,0,0,108,2019,Preston,BxN-RIL-351-2,W3,5,.
43,43,456,107,1,1,0,0,456,2019,Preston,NxB-RIL-365-18,STD,2,.
44,44,456,107,1,1,0,0,456,2019,Preston,NxB-RIL-365-18,V1,2,.
45,45,456,107,1,1,0,0,456,2019,Preston,NxB-RIL-365-18,V2,4,.
46,46,456,107,1,1,0,0,456,2019,Preston,NxB-RIL-365-18,V3,3,.
47,47,456,107,1,1,0,0,456,2019,Preston,NxB-RIL-365-18,W1,0,.
48,48,456,107,1,1,0,0,456,2019,Preston,NxB-RIL-365-18,W2,3,.
49,49,456,107,1,1,0,0,456,2019,Preston,NxB-RIL-365-18,W3,2,.
50,50,389,108,1,1,0,0,389,2019,Preston,NxB-RIL-362-20,STD,3,.
51,51,389,108,1,1,0,0,389,2019,Preston,NxB-RIL-362-20,V1,3,.
52,52,389,108,1,1,0,0,389,2019,Preston,NxB-RIL-362-20,V2,4,.
53,53,389,108,1,1,0,0,389,2019,Preston,NxB-RIL-362-20,V3,3,.
54,54,389,108,1,1,0,0,389,2019,Preston,NxB-RIL-362-20,W1,4,.
55,55,389,108,1,1,0,0,389,2019,Preston,NxB-RIL-362-20,W2,4,.
56,56,389,108,1,1,0,0,389,2019,Preston,NxB-RIL-362-20,W3,2,.
57,57,465,109,1,1,0,0,465,2019,Preston,NxB-RIL-365-28,STD,1,.
58,58,465,109,1,1,0,0,465,2019,Preston,NxB-RIL-365-28,V1,1,.
59,59,465,109,1,1,0,0,465,2019,Preston,NxB-RIL-365-28,V2,3,.
60,60,465,109,1,1,0,0,465,2019,Preston,NxB-RIL-365-28,V3,1,.
61,61,465,109,1,1,0,0,465,2019,Preston,NxB-RIL-365-28,W1,2,.
62,62,465,109,1,1,0,0,465,2019,Preston,NxB-RIL-365-28,W2,5,.
63,63,465,109,1,1,0,0,465,2019,Preston,NxB-RIL-365-28,W3,5,.
64,64,86,110,1,2,0,0,86,2019,Preston,BxN-RIL-349-23,STD,3,.
65,65,86,110,1,2,0,0,86,2019,Preston,BxN-RIL-349-23,V1,4,.
66,66,86,110,1,2,0,0,86,2019,Preston,BxN-RIL-349-23,V2,4,.
67,67,86,110,1,2,0,0,86,2019,Preston,BxN-RIL-349-23,V3,4,.
68,68,86,110,1,2,0,0,86,2019,Preston,BxN-RIL-349-23,W1,1,.
69,69,86,110,1,2,0,0,86,2019,Preston,BxN-RIL-349-23,W2,4,.
70,70,86,110,1,2,0,0,86,2019,Preston,BxN-RIL-349-23,W3,5,.
71,71,331,111,1,2,0,0,331,2019,Preston,BxN-RIL-360-23,STD,1,.
72,72,331,111,1,2,0,0,331,2019,Preston,BxN-RIL-360-23,V1,1,.
73,73,331,111,1,2,0,0,331,2019,Preston,BxN-RIL-360-23,V2,2,.
74,74,331,111,1,2,0,0,331,2019,Preston,BxN-RIL-360-23,V3,1,.
75,75,331,111,1,2,0,0,331,2019,Preston,BxN-RIL-360-23,W1,0,.
76,76,331,111,1,2,0,0,331,2019,Preston,BxN-RIL-360-23,W2,4,.
77,77,331,111,1,2,0,0,331,2019,Preston,BxN-RIL-360-23,W3,0,.
78,78,415,112,1,2,0,0,415,2019,Preston,NxB-RIL-363-25,STD,2,.
79,79,415,112,1,2,0,0,415,2019,Preston,NxB-RIL-363-25,V1,2,.
80,80,415,112,1,2,0,0,415,2019,Preston,NxB-RIL-363-25,V2,4,.
81,81,415,112,1,2,0,0,415,2019,Preston,NxB-RIL-363-25,V3,4,.
82,82,415,112,1,2,0,0,415,2019,Preston,NxB-RIL-363-25,W1,0,.
83,83,415,112,1,2,0,0,415,2019,Preston,NxB-RIL-363-25,W2,4,.
84,84,415,112,1,2,0,0,415,2019,Preston,NxB-RIL-363-25,W3,5,.
85,85,374,113,1,2,0,0,374,2019,Preston,NxB-RIL-362-3,STD,2,.
86,86,374,113,1,2,0,0,374,2019,Preston,NxB-RIL-362-3,V1,2,.
87,87,374,113,1,2,0,0,374,2019,Preston,NxB-RIL-362-3,V2,4,.
88,88,374,113,1,2,0,0,374,2019,Preston,NxB-RIL-362-3,V3,3,.
89,89,374,113,1,2,0,0,374,2019,Preston,NxB-RIL-362-3,W1,3,.
90,90,374,113,1,2,0,0,374,2019,Preston,NxB-RIL-362-3,W2,4,.
91,91,374,113,1,2,0,0,374,2019,Preston,NxB-RIL-362-3,W3,4,.
92,92,715,114,1,2,1,0,715,2019,Preston,NorLin,STD,3,1 + 2
93,93,715,114,1,2,1,0,715,2019,Preston,NorLin,V1,3,1 + 2
94,94,715,114,1,2,1,0,715,2019,Preston,NorLin,V2,4,1 + 2
95,95,715,114,1,2,1,0,715,2019,Preston,NorLin,V3,3,1 + 2
96,96,715,114,1,2,1,0,715,2019,Preston,NorLin,W1,0,1 + 2
97,97,715,114,1,2,1,0,715,2019,Preston,NorLin,W2,4,1 + 2
98,98,715,114,1,2,1,0,715,2019,Preston,NorLin,W3,1,1 + 2
99,99,654,115,1,2,0,0,654,2019,Preston,NxB-RIL-373-29,STD,4,.
100,100,654,115,1,2,0,0,654,2019,Preston,NxB-RIL-373-29,V1,4,.
101,101,654,115,1,2,0,0,654,2019,Preston,NxB-RIL-373-29,V2,5,.
102,102,654,115,1,2,0,0,654,2019,Preston,NxB-RIL-373-29,V3,5,.
103,103,654,115,1,2,0,0,654,2019,Preston,NxB-RIL-373-29,W1,6,.
104,104,654,115,1,2,0,0,654,2019,Preston,NxB-RIL-373-29,W2,8,.
105,105,654,115,1,2,0,0,654,2019,Preston,NxB-RIL-373-29,W3,7,.
106,106,384,116,1,2,0,0,384,2019,Preston,NxB-RIL-362-15,STD,2,.
107,107,384,116,1,2,0,0,384,2019,Preston,NxB-RIL-362-15,V1,3,.
108,108,384,116,1,2,0,0,384,2019,Preston,NxB-RIL-362-15,V2,5,.
109,109,384,116,1,2,0,0,384,2019,Preston,NxB-RIL-362-15,V3,4,.
110,110,384,116,1,2,0,0,384,2019,Preston,NxB-RIL-362-15,W1,1,.
111,111,384,116,1,2,0,0,384,2019,Preston,NxB-RIL-362-15,W2,6,.
112,112,384,116,1,2,0,0,384,2019,Preston,NxB-RIL-362-15,W3,5,.
113,113,68,117,1,2,0,0,68,2019,Preston,BxN-RIL-349-1,STD,2,.
114,114,68,117,1,2,0,0,68,2019,Preston,BxN-RIL-349-1,V1,3,.
115,115,68,117,1,2,0,0,68,2019,Preston,BxN-RIL-349-1,V2,3,.
116,116,68,117,1,2,0,0,68,2019,Preston,BxN-RIL-349-1,V3,3,.
117,117,68,117,1,2,0,0,68,2019,Preston,BxN-RIL-349-1,W1,0,.
118,118,68,117,1,2,0,0,68,2019,Preston,BxN-RIL-349-1,W2,4,.
119,119,68,117,1,2,0,0,68,2019,Preston,BxN-RIL-349-1,W3,1,.
120,120,390,118,1,2,0,0,390,2019,Preston,NxB-RIL-362-21,STD,4,.
121,121,390,118,1,2,0,0,390,2019,Preston,NxB-RIL-362-21,V1,4,.
122,122,390,118,1,2,0,0,390,2019,Preston,NxB-RIL-362-21,V2,5,.
123,123,390,118,1,2,0,0,390,2019,Preston,NxB-RIL-362-21,V3,5,.
124,124,390,118,1,2,0,0,390,2019,Preston,NxB-RIL-362-21,W1,5,.
125,125,390,118,1,2,0,0,390,2019,Preston,NxB-RIL-362-21,W2,7,.
126,126,390,118,1,2,0,0,390,2019,Preston,NxB-RIL-362-21,W3,8,.
127,127,680,119,1,3,0,0,680,2019,Preston,NxB-RIL-374-29,STD,1,.
128,128,680,119,1,3,0,0,680,2019,Preston,NxB-RIL-374-29,V1,1,.
129,129,680,119,1,3,0,0,680,2019,Preston,NxB-RIL-374-29,V2,1,.
130,130,680,119,1,3,0,0,680,2019,Preston,NxB-RIL-374-29,V3,1,.
131,131,680,119,1,3,0,0,680,2019,Preston,NxB-RIL-374-29,W1,0,.
132,132,680,119,1,3,0,0,680,2019,Preston,NxB-RIL-374-29,W2,4,.
133,133,680,119,1,3,0,0,680,2019,Preston,NxB-RIL-374-29,W3,1,.
134,134,327,120,1,3,0,0,327,2019,Preston,BxN-RIL-360-19,STD,2,.
135,135,327,120,1,3,0,0,327,2019,Preston,BxN-RIL-360-19,V1,2,.
136,136,327,120,1,3,0,0,327,2019,Preston,BxN-RIL-360-19,V2,2,.
137,137,327,120,1,3,0,0,327,2019,Preston,BxN-RIL-360-19,V3,1,.
138,138,327,120,1,3,0,0,327,2019,Preston,BxN-RIL-360-19,W1,1,.
139,139,327,120,1,3,0,0,327,2019,Preston,BxN-RIL-360-19,W2,3,.
140,140,327,120,1,3,0,0,327,2019,Preston,BxN-RIL-360-19,W3,1,.
141,141,690,121,1,3,0,0,690,2019,Preston,NxB-RIL-375-8,STD,3,.
142,142,690,121,1,3,0,0,690,2019,Preston,NxB-RIL-375-8,V1,2,.
143,143,690,121,1,3,0,0,690,2019,Preston,NxB-RIL-375-8,V2,2,.
144,144,690,121,1,3,0,0,690,2019,Preston,NxB-RIL-375-8,V3,2,.
145,145,690,121,1,3,0,0,690,2019,Preston,NxB-RIL-375-8,W1,4,.
146,146,690,121,1,3,0,0,690,2019,Preston,NxB-RIL-375-8,W2,4,.
147,147,690,121,1,3,0,0,690,2019,Preston,NxB-RIL-375-8,W3,2,.
148,148,401,122,1,3,0,0,401,2019,Preston,NxB-RIL-363-6,STD,2,.
149,149,401,122,1,3,0,0,401,2019,Preston,NxB-RIL-363-6,V1,2,.
150,150,401,122,1,3,0,0,401,2019,Preston,NxB-RIL-363-6,V2,2,.
151,151,401,122,1,3,0,0,401,2019,Preston,NxB-RIL-363-6,V3,1,.
152,152,401,122,1,3,0,0,401,2019,Preston,NxB-RIL-363-6,W1,0,.
153,153,401,122,1,3,0,0,401,2019,Preston,NxB-RIL-363-6,W2,3,.
154,154,401,122,1,3,0,0,401,2019,Preston,NxB-RIL-363-6,W3,0,.
155,155,715,123,1,3,1,0,715,2019,Preston,NorLin,STD,3,1 + 3
156,156,715,123,1,3,1,0,715,2019,Preston,NorLin,V1,4,1 + 3
157,157,715,123,1,3,1,0,715,2019,Preston,NorLin,V2,4,1 + 3
158,158,715,123,1,3,1,0,715,2019,Preston,NorLin,V3,3,1 + 3
159,159,715,123,1,3,1,0,715,2019,Preston,NorLin,W1,0,1 + 3
160,160,715,123,1,3,1,0,715,2019,Preston,NorLin,W2,4,1 + 3
161,161,715,123,1,3,1,0,715,2019,Preston,NorLin,W3,1,1 + 3
162,162,109,124,1,3,0,0,109,2019,Preston,BxN-RIL-351-4,STD,4,.
163,163,109,124,1,3,0,0,109,2019,Preston,BxN-RIL-351-4,V1,3,.
164,164,109,124,1,3,0,0,109,2019,Preston,BxN-RIL-351-4,V2,4,.
165,165,109,124,1,3,0,0,109,2019,Preston,BxN-RIL-351-4,V3,3,.
166,166,109,124,1,3,0,0,109,2019,Preston,BxN-RIL-351-4,W1,2,.
167,167,109,124,1,3,0,0,109,2019,Preston,BxN-RIL-351-4,W2,5,.
168,168,109,124,1,3,0,0,109,2019,Preston,BxN-RIL-351-4,W3,4,.
169,169,166,125,1,3,0,0,166,2019,Preston,BxN-RIL-353-22,STD,2,.
170,170,166,125,1,3,0,0,166,2019,Preston,BxN-RIL-353-22,V1,3,.
171,171,166,125,1,3,0,0,166,2019,Preston,BxN-RIL-353-22,V2,4,.
172,172,166,125,1,3,0,0,166,2019,Preston,BxN-RIL-353-22,V3,3,.
173,173,166,125,1,3,0,0,166,2019,Preston,BxN-RIL-353-22,W1,0,.
174,174,166,125,1,3,0,0,166,2019,Preston,BxN-RIL-353-22,W2,5,.
175,175,166,125,1,3,0,0,166,2019,Preston,BxN-RIL-353-22,W3,2,.
176,176,55,126,1,3,0,0,55,2019,Preston,BxN-RIL-348-11,STD,3,.
177,177,55,126,1,3,0,0,55,2019,Preston,BxN-RIL-348-11,V1,4,.
178,178,55,126,1,3,0,0,55,2019,Preston,BxN-RIL-348-11,V2,4,.
179,179,55,126,1,3,0,0,55,2019,Preston,BxN-RIL-348-11,V3,4,.
180,180,55,126,1,3,0,0,55,2019,Preston,BxN-RIL-348-11,W1,0,.
181,181,55,126,1,3,0,0,55,2019,Preston,BxN-RIL-348-11,W2,5,.
182,182,55,126,1,3,0,0,55,2019,Preston,BxN-RIL-348-11,W3,4,.
183,183,570,127,1,3,0,0,570,2019,Preston,NxB-RIL-370-14,STD,2,.
184,184,570,127,1,3,0,0,570,2019,Preston,NxB-RIL-370-14,V1,2,.
185,185,570,127,1,3,0,0,570,2019,Preston,NxB-RIL-370-14,V2,4,.
186,186,570,127,1,3,0,0,570,2019,Preston,NxB-RIL-370-14,V3,1,.
187,187,570,127,1,3,0,0,570,2019,Preston,NxB-RIL-370-14,W1,0,.
188,188,570,127,1,3,0,0,570,2019,Preston,NxB-RIL-370-14,W2,6,.
189,189,570,127,1,3,0,0,570,2019,Preston,NxB-RIL-370-14,W3,4,.
190,190,163,128,1,4,0,0,163,2019,Preston,BxN-RIL-353-18,STD,2,.
191,191,163,128,1,4,0,0,163,2019,Preston,BxN-RIL-353-18,V1,2,.
192,192,163,128,1,4,0,0,163,2019,Preston,BxN-RIL-353-18,V2,3,.
193,193,163,128,1,4,0,0,163,2019,Preston,BxN-RIL-353-18,V3,2,.
194,194,163,128,1,4,0,0,163,2019,Preston,BxN-RIL-353-18,W1,0,.
195,195,163,128,1,4,0,0,163,2019,Preston,BxN-RIL-353-18,W2,3,.
196,196,163,128,1,4,0,0,163,2019,Preston,BxN-RIL-353-18,W3,5,.
197,197,241,129,1,4,0,0,241,2019,Preston,BxN-RIL-357-12,STD,2,.
198,198,241,129,1,4,0,0,241,2019,Preston,BxN-RIL-357-12,V1,3,.
199,199,241,129,1,4,0,0,241,2019,Preston,BxN-RIL-357-12,V2,3,.
200,200,241,129,1,4,0,0,241,2019,Preston,BxN-RIL-357-12,V3,2,.
201,201,241,129,1,4,0,0,241,2019,Preston,BxN-RIL-357-12,W1,0,.
202,202,241,129,1,4,0,0,241,2019,Preston,BxN-RIL-357-12,W2,4,.
203,203,241,129,1,4,0,0,241,2019,Preston,BxN-RIL-357-12,W3,2,.
204,204,30,130,1,4,0,0,30,2019,Preston,BxN-RIL-347-8,STD,4,.
205,205,30,130,1,4,0,0,30,2019,Preston,BxN-RIL-347-8,V1,3,.
206,206,30,130,1,4,0,0,30,2019,Preston,BxN-RIL-347-8,V2,4,.
207,207,30,130,1,4,0,0,30,2019,Preston,BxN-RIL-347-8,V3,3,.
208,208,30,130,1,4,0,0,30,2019,Preston,BxN-RIL-347-8,W1,5,.
209,209,30,130,1,4,0,0,30,2019,Preston,BxN-RIL-347-8,W2,7,.
210,210,30,130,1,4,0,0,30,2019,Preston,BxN-RIL-347-8,W3,5,.
211,211,687,131,1,4,0,0,687,2019,Preston,NxB-RIL-375-5,STD,2,.
212,212,687,131,1,4,0,0,687,2019,Preston,NxB-RIL-375-5,V1,2,.
213,213,687,131,1,4,0,0,687,2019,Preston,NxB-RIL-375-5,V2,3,.
214,214,687,131,1,4,0,0,687,2019,Preston,NxB-RIL-375-5,V3,1,.
215,215,687,131,1,4,0,0,687,2019,Preston,NxB-RIL-375-5,W1,3,.
216,216,687,131,1,4,0,0,687,2019,Preston,NxB-RIL-375-5,W2,5,.
217,217,687,131,1,4,0,0,687,2019,Preston,NxB-RIL-375-5,W3,4,.
218,218,715,132,1,4,1,0,715,2019,Preston,NorLin,STD,3,1 + 4
219,219,715,132,1,4,1,0,715,2019,Preston,NorLin,V1,3,1 + 4
220,220,715,132,1,4,1,0,715,2019,Preston,NorLin,V2,4,1 + 4
221,221,715,132,1,4,1,0,715,2019,Preston,NorLin,V3,3,1 + 4
222,222,715,132,1,4,1,0,715,2019,Preston,NorLin,W1,0,1 + 4
223,223,715,132,1,4,1,0,715,2019,Preston,NorLin,W2,4,1 + 4
224,224,715,132,1,4,1,0,715,2019,Preston,NorLin,W3,4,1 + 4
225,225,484,133,1,4,0,0,484,2019,Preston,NxB-RIL-366-23,STD,2,.
226,226,484,133,1,4,0,0,484,2019,Preston,NxB-RIL-366-23,V1,3,.
227,227,484,133,1,4,0,0,484,2019,Preston,NxB-RIL-366-23,V2,3,.
228,228,484,133,1,4,0,0,484,2019,Preston,NxB-RIL-366-23,V3,3,.
229,229,484,133,1,4,0,0,484,2019,Preston,NxB-RIL-366-23,W1,3,.
230,230,484,133,1,4,0,0,484,2019,Preston,NxB-RIL-366-23,W2,5,.
231,231,484,133,1,4,0,0,484,2019,Preston,NxB-RIL-366-23,W3,4,.
232,232,659,134,1,4,0,0,659,2019,Preston,NxB-RIL-374-4,STD,3,.
233,233,659,134,1,4,0,0,659,2019,Preston,NxB-RIL-374-4,V1,4,.
234,234,659,134,1,4,0,0,659,2019,Preston,NxB-RIL-374-4,V2,4,.
235,235,659,134,1,4,0,0,659,2019,Preston,NxB-RIL-374-4,V3,3,.
236,236,659,134,1,4,0,0,659,2019,Preston,NxB-RIL-374-4,W1,2,.
237,237,659,134,1,4,0,0,659,2019,Preston,NxB-RIL-374-4,W2,4,.
238,238,659,134,1,4,0,0,659,2019,Preston,NxB-RIL-374-4,W3,5,.
239,239,145,135,1,4,0,0,145,2019,Preston,BxN-RIL-352-28,STD,3,.
240,240,145,135,1,4,0,0,145,2019,Preston,BxN-RIL-352-28,V1,3,.
241,241,145,135,1,4,0,0,145,2019,Preston,BxN-RIL-352-28,V2,3,.
242,242,145,135,1,4,0,0,145,2019,Preston,BxN-RIL-352-28,V3,2,.
243,243,145,135,1,4,0,0,145,2019,Preston,BxN-RIL-352-28,W1,0,.
244,244,145,135,1,4,0,0,145,2019,Preston,BxN-RIL-352-28,W2,5,.
245,245,145,135,1,4,0,0,145,2019,Preston,BxN-RIL-352-28,W3,2,.
246,246,339,136,1,4,0,0,339,2019,Preston,BxN-RIL-360-31,STD,3,.
247,247,339,136,1,4,0,0,339,2019,Preston,BxN-RIL-360-31,V1,4,.
248,248,339,136,1,4,0,0,339,2019,Preston,BxN-RIL-360-31,V2,4,.
249,249,339,136,1,4,0,0,339,2019,Preston,BxN-RIL-360-31,V3,3,.
250,250,339,136,1,4,0,0,339,2019,Preston,BxN-RIL-360-31,W1,5,.
251,251,339,136,1,4,0,0,339,2019,Preston,BxN-RIL-360-31,W2,5,.
252,252,339,136,1,4,0,0,339,2019,Preston,BxN-RIL-360-31,W3,4,.
253,253,202,137,1,5,0,0,202,2019,Preston,BxN-RIL-355-14,STD,2,.
254,254,202,137,1,5,0,0,202,2019,Preston,BxN-RIL-355-14,V1,2,.
255,255,202,137,1,5,0,0,202,2019,Preston,BxN-RIL-355-14,V2,3,.
256,256,202,137,1,5,0,0,202,2019,Preston,BxN-RIL-355-14,V3,1,.
257,257,202,137,1,5,0,0,202,2019,Preston,BxN-RIL-355-14,W1,0,.
258,258,202,137,1,5,0,0,202,2019,Preston,BxN-RIL-355-14,W2,5,.
259,259,202,137,1,5,0,0,202,2019,Preston,BxN-RIL-355-14,W3,2,.
260,260,206,138,1,5,0,0,206,2019,Preston,BxN-RIL-355-20,STD,3,.
261,261,206,138,1,5,0,0,206,2019,Preston,BxN-RIL-355-20,V1,4,.
262,262,206,138,1,5,0,0,206,2019,Preston,BxN-RIL-355-20,V2,5,.
263,263,206,138,1,5,0,0,206,2019,Preston,BxN-RIL-355-20,V3,4,.
264,264,206,138,1,5,0,0,206,2019,Preston,BxN-RIL-355-20,W1,1,.
265,265,206,138,1,5,0,0,206,2019,Preston,BxN-RIL-355-20,W2,7,.
266,266,206,138,1,5,0,0,206,2019,Preston,BxN-RIL-355-20,W3,6,.
267,267,376,139,1,5,0,0,376,2019,Preston,NxB-RIL-362-5,STD,3,.
268,268,376,139,1,5,0,0,376,2019,Preston,NxB-RIL-362-5,V1,4,.
269,269,376,139,1,5,0,0,376,2019,Preston,NxB-RIL-362-5,V2,3,.
270,270,376,139,1,5,0,0,376,2019,Preston,NxB-RIL-362-5,V3,4,.
271,271,376,139,1,5,0,0,376,2019,Preston,NxB-RIL-362-5,W1,4,.
272,272,376,139,1,5,0,0,376,2019,Preston,NxB-RIL-362-5,W2,4,.
273,273,376,139,1,5,0,0,376,2019,Preston,NxB-RIL-362-5,W3,5,.
274,274,677,140,1,5,0,0,677,2019,Preston,NxB-RIL-374-26,STD,4,.
275,275,677,140,1,5,0,0,677,2019,Preston,NxB-RIL-374-26,V1,4,.
276,276,677,140,1,5,0,0,677,2019,Preston,NxB-RIL-374-26,V2,5,.
277,277,677,140,1,5,0,0,677,2019,Preston,NxB-RIL-374-26,V3,4,.
278,278,677,140,1,5,0,0,677,2019,Preston,NxB-RIL-374-26,W1,6,.
279,279,677,140,1,5,0,0,677,2019,Preston,NxB-RIL-374-26,W2,4,.
